Name, n, |M|, distribution
30-instance-1, 30, 7, 0.333333,0,1,0,1,1,0,1,0,0.666667,0,0,1,0,1,1,0.666667,1,1,0,0,0,1,0.666667,0.666667,1,0.333333,0.666667,1,1,
30-instance-2, 30, 8, 0,0,0,0,0,0,0.777778,1,0.25,0.666667,0.25,0,0.777778,0,0,1,0,0,0,0,1,1,1,0,0.777778,0.25,0,0,0,0.25,
30-instance-3, 30, 7, 1,1,0,0,0.2,0,0.5,1,0,0,0,0.2,0,1,0,1,0,0,0,1,0,0,0.2,1,0.2,0,0.2,0,0,0.5,
30-instance-4, 30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30-instance-5, 30, 15, 0,0.0666667,0,0,0,0.0666667,0.0666667,0,0,1,0.0666667,0.0666667,0.0666667,0.0666667,0,1,0.0666667,0.0666667,1,0.0666667,0.0666667,0.0666667,0,0,1,0,0.0666667,0.0666667,0,0.0666667,
30-instance-6, 30, 10, 0.897059,0.852941,0.867647,0,0,0,1,0,1,0,0.117647,0,0,1,0,0,0.5,1,0.5,0,0.441176,0.441176,0,0,0,0,0,1,0.5,0.882353,
30-instance-7, 30, 2, 0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,
30-instance-8, 30, 8, 1,0.075,0.175,0.175,1,0,0.175,0,0,1,1,0,1,1,0.175,1,0,0,1,0,0.075,1,1,0,0,1,0,1,0.075,0.075,
30-instance-9, 30, 15, 0.0248756,0.0149254,1,0.18408,0.0447761,0.223881,0.0149254,1,1,0,0.0248756,0,0.925373,1,0.985075,0.159204,0.761194,1,0.323383,1,0.0298507,1,1,0.159204,0.124378,1,0,1,1,1,
30-instance-10, 30, 13, 1,0,0.358974,0.555556,0.102564,0,0,0,1,0,0,0,1,0.333333,0,0.641026,0.538462,0.57265,0.102564,0,0,0,0.102564,0.102564,0,0.102564,0,0.384615,0.102564,0,
30-instance-11, 30, 4, 0,0,0.666667,1,0,0,1,0.666667,1,0,0,0,0,0,0,0,0,0,0,0,0.833333,0,0,0.833333,0,1,0,1,1,0,
30-instance-12, 30, 17, 0.146341,1,0.658537,0.170732,0.0243902,1,0,0.146341,1,0.121951,0.219512,0.0731707,0,0.121951,0,0,0.658537,0.0243902,0.0731707,0.0731707,0.0243902,0.0731707,0,0,0.365854,0.0243902,0,0,0,0,
30-instance-13, 30, 5, 1,0,0,1,1,0,0,0,0,0,0,0.2,0,1,0,0.6,0,1,1,0,0.2,1,0,0.4,0,1,1,0.6,0,0,
