Name, Wrongly classified, |M|, time partition, time greedy partition, Agents
30-instance-17, 1, 3, 0.032, 0.01, 26
30-instance-18, 3, 13, 0.192, 0.072, 16, 21, 29
30-instance-19, 2, 21, 0.224, 0.165, 11, 28
30-instance-20, 0, 7, 0.095, 0.042
30-instance-21, 0, 4, 0.008, 0.001
30-instance-22, 0, 17, 0.201, 0.142
30-instance-23, 2, 11, 0.189, 0.058, 25, 27
30-instance-24, 1, 13, 0.319, 0.12, 27
30-instance-25, 1, 15, 0.224, 0.151, 12
30-instance-26, 0, 6, 0.071, 0.017
30-instance-27, 2, 14, 0.274, 0.147, 0, 25
30-instance-28, 1, 5, 0.08, 0.02, 23
30-instance-29, 3, 9, 0.056, 0.011, 12, 15, 25
30-instance-30, 0, 3, 0.11, 0.036
30-instance-31, 0, 6, 0.24, 0.052
30-instance-32, 2, 11, 0.09, 0.03, 1, 7
30-instance-33, 0, 12, 0.25, 0.147
30-instance-34, 0, 14, 0.154, 0.071
30-instance-35, 0, 10, 0.181, 0.092
30-instance-36, 1, 6, 0.139, 0.04, 9
30-instance-37, 0, 7, 0.231, 0.067
30-instance-38, 0, 3, 0.181, 0.035
30-instance-39, 1, 7, 0.179, 0.063, 6
30-instance-40, 0, 0, 0.131, 0.012
30-instance-41, 4, 12, 0.239, 0.088, 1, 8, 14, 18
30-instance-42, 1, 13, 0.262, 0.136, 3
30-instance-43, 0, 7, 0.249, 0.075
30-instance-44, 1, 9, 0.28, 0.073, 3
30-instance-45, 0, 8, 0.013, 0.022
30-instance-46, 2, 21, 0.195, 0.161, 18, 26
30-instance-47, 0, 17, 0.167, 0.124
30-instance-48, 2, 9, 0.18, 0.056, 1, 18
30-instance-49, 0, 14, 0.145, 0.121
30-instance-50, 1, 4, 0.048, 0.027, 3
40-instance-1, 0, 15, 0.117, 0.095
40-instance-2, 3, 7, 0.073, 0.004, 2, 17, 24
40-instance-3, 2, 9, 0.345, 0.067, 3, 11
40-instance-4, 1, 17, 0.421, 0.262, 4
40-instance-5, 7, 11, 0.714, 0.071, 10, 12, 15, 19, 24, 27, 33
40-instance-6, 0, 4, 0.216, 0.046
40-instance-7, 1, 3, 0.377, 0.032, 12
40-instance-8, 0, 27, 0.351, 0.257
40-instance-9, 2, 11, 0.089, 0.022, 21, 24
40-instance-10, 0, 10, 0.495, 0.084
40-instance-11, 2, 12, 0.493, 0.099, 0, 26
40-instance-12, 2, 17, 0.423, 0.214, 4, 6
40-instance-13, 2, 11, 0.546, 0.119, 8, 37
40-instance-14, 0, 13, 0.543, 0.217
40-instance-15, 0, 18, 0.594, 0.265
40-instance-16, 1, 18, 0.466, 0.185, 0
40-instance-17, 0, 23, 0.514, 0.306
40-instance-18, 2, 11, 0.278, 0.09, 9, 26
40-instance-19, 2, 14, 0.513, 0.137, 3, 28
