Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
30-instance-15, 30, 9, 0.015,0.555,0.419,29,8,7.93529e-07,0.222222,0.165789,
30-instance-16, 30, 0, 0.039,0.697,0,31,0,1,-nan(ind),1,
30-instance-17, 30, 3, 0.003,0.043,0.709,30,3,0.296294,0.666667,0.664615,
30-instance-18, 30, 13, 0.019,0.382,0.606,26,10,2.67557e-05,0.538462,0.197826,
30-instance-19, 30, 21, 0.039,0.484,1.39,24,12,3.20161e-15,0.285714,0.108387,
30-instance-20, 30, 7, 0.03,0.258,0.272,28,6,7.99803e-05,0.285714,0.197647,
30-instance-21, 30, 4, 0.002,0.031,0.155,28,2,0.0625,0.5,0.5,
30-instance-22, 30, 17, 0.018,0.467,0.723,26,14,1.03264e-15,0.176471,0.0818519,
30-instance-23, 30, 11, 0.028,0.381,0.46,24,7,0.000809916,0.545455,0.398095,
30-instance-24, 30, 13, 0.061,0.655,0.554,23,7,2.42758e-06,0.384615,0.282609,
30-instance-25, 30, 15, 0.04,0.439,0.639,26,12,1.33063e-12,0.2,0.102,
30-instance-26, 30, 6, 0.024,0.175,0.039,30,6,2.14266e-05,0.166667,0.165,
30-instance-27, 30, 14, 0.065,1.026,0.963,23,6,3.68937e-07,0.357143,0.2975,
30-instance-28, 30, 5, 0.011,0.235,0.546,29,4,0.0740741,0.6,0.5,
30-instance-29, 30, 9, 0.011,0.087,0.13,26,3,0.0260115,0.666667,0.664211,
30-instance-30, 30, 3, 0.004,0.077,0.092,30,3,0.0370366,0.333333,0.332308,
30-instance-31, 30, 6, 0.015,0.295,0.177,29,4,0.0156247,0.5,0.49875,
30-instance-32, 30, 11, 0.004,0.115,0.342,26,6,4.57706e-05,0.454545,0.248571,
30-instance-33, 30, 12, 0.01,0.289,0.866,28,10,2.55805e-08,0.25,0.196364,
30-instance-34, 30, 14, 0.016,0.25,0.904,26,13,3.26726e-10,0.214286,0.163333,
30-instance-35, 30, 10, 0.014,0.266,0.397,28,9,4.49221e-08,0.2,0.14,
30-instance-36, 30, 6, 0.015,0.209,0.162,28,4,0.0742535,0.666667,0.43375,
30-instance-37, 30, 7, 0.018,0.326,0.343,29,6,0.000144662,0.285714,0.247059,
30-instance-38, 30, 3, 0.016,0.318,0.132,30,3,0.0370366,0.333333,0.332308,
30-instance-39, 30, 7, 0.021,0.354,0.453,28,7,0.00265556,0.428571,0.428235,
30-instance-40, 30, 0, 0.015,0.24,0,31,0,1,-nan(ind),1,
30-instance-41, 30, 12, 0.02,0.393,0.71,23,10,0.00137163,0.583333,0.496364,
30-instance-42, 30, 13, 0.023,0.51,1.116,25,12,2.21461e-07,0.307692,0.305217,
30-instance-43, 30, 7, 0.018,0.395,0.032,30,7,1.21357e-06,0.142857,0.14,
30-instance-44, 30, 9, 0.017,0.474,0.6,27,8,1.9995e-05,0.333333,0.198947,
30-instance-45, 30, 8, 0.003,0.034,0.243,26,5,0.000342929,0.375,0.333333,
30-instance-46, 30, 21, 0.027,0.324,1.073,21,14,5.07246e-14,0.333333,0.12871,
30-instance-47, 30, 17, 0.016,0.297,0.756,25,12,1.46668e-13,0.176471,0.163704,
30-instance-48, 30, 9, 0.015,0.292,0.531,27,7,0.00292942,0.555556,0.331579,
30-instance-49, 30, 14, 0.015,0.251,0.418,28,8,1.47075e-12,0.142857,0.14,
30-instance-50, 30, 4, 0.005,0.095,0.34,28,2,0.0625,0.5,0.5,
40-instance-1, 40, 15, 0.014,0.172,0.84,34,12,4.28256e-10,0.266667,0.162,
40-instance-2, 40, 7, 0.004,0.101,0.667,39,6,0.0937496,0.714286,0.665882,
40-instance-3, 40, 9, 0.018,0.506,0.437,35,5,0.0048597,0.555556,0.497895,
40-instance-4, 40, 17, 0.026,0.671,1.718,31,15,2.03553e-09,0.352941,0.195185,
40-instance-5, 40, 11, 0.031,0.806,1.457,36,9,0.109682,0.818182,0.79619,
40-instance-6, 40, 4, 0.016,0.312,0.117,40,4,0.00390599,0.25,0.248571,
40-instance-7, 40, 3, 0.021,0.56,0.552,40,3,0.296296,0.666667,0.666154,
40-instance-8, 40, 27, 0.028,0.446,5.453,26,20,3.91926e-17,0.296296,0.116757,
40-instance-9, 40, 11, 0.007,0.135,0.472,35,7,0.000101591,0.454545,0.33,
40-instance-10, 40, 10, 0.015,0.212,0.347,35,4,8.5721e-05,0.4,0.33,
40-instance-11, 40, 12, 0.019,0.59,0.449,34,8,0.000101246,0.5,0.3,
40-instance-12, 40, 17, 0.019,0.558,0.967,32,14,6.77001e-09,0.411765,0.138519,
40-instance-13, 40, 11, 0.022,0.454,0.494,32,6,0.00111794,0.545455,0.445714,
40-instance-14, 40, 13, 0.022,0.68,0.699,34,13,5.2613e-09,0.230769,0.226087,
40-instance-15, 40, 18, 0.029,0.734,1.425,31,12,1.54075e-11,0.277778,0.173571,
40-instance-16, 40, 18, 0.036,0.606,0.91,31,15,1.35943e-10,0.333333,0.212143,
40-instance-17, 40, 23, 0.03,0.72,0.973,31,15,2.83497e-19,0.217391,0.0627273,
40-instance-18, 40, 11, 0.018,0.363,0.418,34,7,2.80862e-05,0.454545,0.199048,
40-instance-19, 40, 14, 0.023,0.648,0.487,31,9,4.35477e-06,0.428571,0.361667,
40-instance-20, 40, 0, 0.015,0.176,0,41,0,1,-nan(ind),1,
40-instance-21, 40, 19, 0.021,0.455,1.603,28,15,1.945e-08,0.421053,0.303918,
40-instance-22, 40, 8, 0.026,0.145,0.269,36,5,0.00274343,0.5,0.333333,
40-instance-23, 40, 19, 0.021,0.655,1.642,32,15,5.33879e-08,0.473684,0.176897,
40-instance-24, 40, 13, 0.006,0.059,0.49,37,11,1.18437e-09,0.230769,0.141304,
40-instance-25, 40, 5, 0.019,0.607,0.391,39,4,0.00925926,0.4,0.333333,
40-instance-26, 40, 9, 0.013,0.383,0.632,38,8,0.00127986,0.555556,0.246842,
40-instance-27, 40, 20, 0.019,0.311,0.832,31,13,2.29527e-14,0.25,0.14,
40-instance-28, 40, 9, 0.02,0.407,0.295,36,7,0.0204792,0.666667,0.497895,
40-instance-29, 40, 18, 0.023,0.602,1.855,30,15,2.14058e-08,0.388889,0.289286,
40-instance-30, 40, 21, 0.034,0.611,3.407,27,19,8.63795e-10,0.380952,0.298065,
40-instance-31, 40, 17, 0.024,0.611,1.197,33,16,1.46661e-13,0.176471,0.163704,
40-instance-32, 40, 20, 0.036,0.726,2.179,29,15,2.6026e-05,0.6,0.446667,
40-instance-33, 40, 19, 0.024,0.585,1.488,28,14,1.04369e-10,0.315789,0.196552,
40-instance-34, 40, 18, 0.027,0.853,1.602,35,15,1.29984e-10,0.388889,0.141429,
40-instance-35, 40, 14, 0.02,0.438,0.55,32,11,2.69643e-06,0.428571,0.268333,
40-instance-36, 40, 17, 0.018,0.521,0.635,34,12,1.4228e-12,0.235294,0.113333,
40-instance-37, 40, 18, 0.062,0.664,1.275,32,11,7.65522e-10,0.388889,0.154286,
40-instance-38, 40, 23, 0.033,0.599,1.938,29,15,3.27977e-12,0.391304,0.181212,
40-instance-39, 40, 4, 0.001,0.028,0.125,40,4,0.00390599,0.25,0.248571,
40-instance-40, 40, 11, 0.012,0.334,0.684,34,9,0.000106646,0.454545,0.33,
40-instance-41, 40, 2, 0.023,0.492,0.223,40,2,0.249997,0.5,0.498333,
40-instance-42, 40, 16, 0.018,0.473,1.325,32,11,8.54606e-06,0.5,0.387692,
40-instance-43, 40, 9, 0.017,0.186,0.184,37,6,7.93529e-07,0.222222,0.165789,
40-instance-44, 40, 18, 0.02,0.704,4.629,31,14,2.55697e-07,0.444444,0.331429,
40-instance-45, 40, 18, 0.02,0.421,0.94,33,13,5.74745e-15,0.166667,0.141429,
40-instance-46, 40, 14, 0.019,0.395,0.274,36,10,3.05792e-13,0.142857,0.0933333,
40-instance-47, 40, 12, 0.007,0.108,0.694,35,11,6.36383e-06,0.416667,0.196364,
40-instance-48, 40, 23, 0.004,0.035,0.717,36,20,1.52272e-26,0.0869565,0.0487879,
40-instance-49, 40, 14, 0.024,0.217,0.447,34,11,1.1611e-08,0.285714,0.215833,
40-instance-50, 40, 22, 0.024,0.687,1.119,30,15,1.11184e-11,0.409091,0.199375,
40-instance-51, 40, 26, 0.011,0.303,0.39,32,17,2.23925e-22,0.269231,0.0577778,
40-instance-52, 40, 18, 0.026,0.767,1.211,32,16,8.64846e-15,0.166667,0.148571,
40-instance-53, 40, 8, 0.026,0.639,0.249,38,4,0.0197743,0.625,0.497778,
40-instance-54, 40, 13, 0.018,0.392,1.811,32,10,0.00020247,0.538462,0.395652,
40-instance-55, 40, 15, 0.025,0.513,0.599,34,12,9.47299e-10,0.266667,0.198,
40-instance-56, 40, 21, 0.038,0.706,3.568,27,15,3.40134e-09,0.428571,0.243871,
40-instance-57, 40, 16, 0.024,0.462,0.989,33,14,5.01581e-11,0.3125,0.110769,
40-instance-58, 40, 18, 0.029,0.567,0.906,36,16,2.44403e-16,0.222222,0.0742857,
40-instance-59, 40, 9, 0.034,0.853,0.31,37,7,3.61623e-05,0.333333,0.246842,
40-instance-60, 40, 17, 0.022,0.559,1.14,33,14,1.26943e-07,0.470588,0.163704,
40-instance-61, 40, 8, 0.009,0.154,0.272,37,5,0.00274343,0.5,0.333333,
40-instance-62, 40, 15, 0.019,0.649,0.753,37,12,3.26478e-11,0.333333,0.096,
40-instance-63, 40, 14, 0.021,0.521,0.841,34,11,1.82132e-06,0.428571,0.285,
40-instance-64, 40, 14, 0.005,0.062,1.046,35,12,5.6157e-10,0.285714,0.113333,
40-instance-65, 40, 5, 0.006,0.165,0.942,40,5,0.32768,0.8,0.8,
50-instance-1, 50, 8, 0.017,0.524,0.037,50,8,5.95723e-08,0.125,0.124444,
50-instance-2, 50, 19, 0.033,1.183,1.228,42,16,9.84213e-15,0.210526,0.108966,
50-instance-3, 50, 27, 0.031,0.824,3.655,35,22,8.55096e-16,0.333333,0.175135,
50-instance-4, 50, 18, 0.035,0.853,0.349,43,10,8.84132e-16,0.166667,0.122143,
50-instance-5, 50, 18, 0.025,0.858,0.856,43,16,5.82723e-13,0.222222,0.186429,
50-instance-6, 50, 8, 0.019,0.545,0.15,46,4,0.000244102,0.375,0.248889,
50-instance-7, 50, 13, 0.026,1.232,2.017,45,13,5.2613e-09,0.230769,0.226087,
50-instance-8, 50, 23, 0.026,0.785,1.576,43,18,6.57528e-20,0.217391,0.0906061,
50-instance-9, 50, 21, 0.036,0.806,1.481,36,13,8.84229e-08,0.47619,0.379355,
50-instance-10, 50, 9, 0.008,0.471,0.081,50,9,2.57619e-09,0.111111,0.108947,
50-instance-11, 50, 19, 0.029,1.227,2.201,38,15,1.22969e-07,0.473684,0.268621,
50-instance-12, 50, 19, 0.024,0.591,1.48,41,12,1.98471e-08,0.473684,0.163793,
50-instance-13, 50, 32, 0.03,0.917,2.693,35,19,4.37131e-16,0.46875,0.129524,
50-instance-14, 50, 11, 0.028,0.647,0.245,45,9,3.30197e-07,0.272727,0.22,
50-instance-15, 50, 22, 0.02,0.692,1.416,42,13,8.45769e-16,0.272727,0.103125,
50-instance-16, 50, 30, 0.035,1.232,3.151,38,22,5.18991e-18,0.3,0.1575,
50-instance-17, 50, 20, 0.026,0.664,1.196,38,16,2.93731e-08,0.45,0.246667,
50-instance-18, 50, 13, 0.02,0.409,0.381,42,8,2.66657e-05,0.461538,0.332609,
50-instance-19, 50, 19, 0.02,0.732,1.725,43,14,3.06338e-08,0.473684,0.22931,
50-instance-20, 50, 23, 0.023,0.737,7.874,34,20,3.32756e-10,0.391304,0.327576,
50-instance-21, 50, 16, 0.021,0.389,0.628,49,13,9.66775e-16,0.1875,0.0738462,
50-instance-22, 50, 9, 0.026,1.321,0.405,47,6,7.93529e-07,0.222222,0.165789,
50-instance-23, 50, 27, 0.036,1.097,6.853,34,20,4.48666e-14,0.37037,0.175135,
50-instance-24, 50, 29, 0.025,0.645,2.615,33,22,8.44892e-19,0.275862,0.146068,
50-instance-25, 50, 16, 0.019,0.666,1.192,44,12,0.000886819,0.6875,0.4,
50-instance-26, 50, 11, 0.023,0.723,0.884,44,10,3.30195e-07,0.272727,0.22,
50-instance-27, 50, 24, 0.018,0.656,0.716,39,15,6.90583e-15,0.375,0.127059,
50-instance-28, 50, 15, 0.037,1.422,3.125,45,13,4.16003e-10,0.266667,0.138,
50-instance-29, 50, 14, 0.023,0.643,0.767,43,10,0.0339723,0.785714,0.746667,
50-instance-30, 50, 6, 0.028,1.222,0.389,49,5,0.0791011,0.666667,0.49875,
50-instance-31, 50, 17, 0.018,0.51,0.756,44,14,3.757e-11,0.294118,0.11963,
50-instance-32, 50, 14, 0.025,0.972,0.78,45,13,4.98643e-07,0.428571,0.163333,
50-instance-33, 50, 4, 0.028,0.854,0.15,48,2,0.0625,0.5,0.5,
50-instance-34, 50, 17, 0.026,1.19,0.941,42,14,1.24082e-13,0.176471,0.138519,
50-instance-35, 50, 6, 0.024,1.268,0.268,47,5,0.0156246,0.5,0.49875,
50-instance-36, 50, 20, 0.028,1.041,1.135,43,16,4.60409e-15,0.25,0.126667,
50-instance-37, 50, 23, 0.033,1.171,1.596,39,19,9.93875e-16,0.26087,0.139394,
50-instance-38, 50, 21, 0.027,1.052,2.183,37,16,5.9284e-06,0.571429,0.433548,
50-instance-39, 50, 24, 0.019,0.588,1.213,37,15,1.73783e-09,0.458333,0.230588,
50-instance-40, 50, 8, 0.006,0.116,0.105,49,2,0.00390594,0.5,0.497778,
50-instance-41, 50, 22, 0.029,0.945,1.704,37,19,1.84226e-13,0.318182,0.185625,
50-instance-42, 50, 18, 0.043,1.508,0.498,43,4,0.00250543,0.722222,0.498571,
50-instance-43, 50, 19, 0.02,0.489,2.141,44,18,1.50658e-14,0.210526,0.137586,
50-instance-44, 50, 17, 0.036,1.542,3.769,41,16,1.94234e-05,0.529412,0.497407,
50-instance-45, 50, 11, 0.024,0.722,0.069,50,11,3.49093e-12,0.0909091,0.0890476,
50-instance-46, 50, 13, 0.024,0.396,0.667,43,10,2.50827e-05,0.461538,0.316522,
50-instance-47, 50, 13, 0.051,1.81,0.807,45,11,3.78922e-09,0.230769,0.197826,
50-instance-48, 50, 35, 0.028,0.621,7.612,31,29,9.5089e-24,0.314286,0.07,
50-instance-49, 50, 21, 0.025,0.752,1.697,41,15,5.33173e-12,0.380952,0.149032,
50-instance-50, 50, 9, 0.008,0.189,0.297,46,5,0.000539941,0.444444,0.298421,
60-instance-1, 60, 17, 0.022,0.234,0.539,54,11,3.1343e-14,0.235294,0.0818519,
60-instance-2, 60, 31, 0.034,1.287,3.341,45,24,5.01574e-21,0.290323,0.128537,
60-instance-3, 60, 30, 0.029,0.919,2.891,45,19,4.00475e-18,0.333333,0.1225,
60-instance-4, 60, 31, 0.043,1.409,5.874,42,26,2.00556e-18,0.354839,0.0907317,
60-instance-5, 60, 15, 0.03,1.043,1.982,52,13,6.82065e-06,0.466667,0.33,
60-instance-6, 60, 42, 0.052,1.378,9.574,34,29,4.67555e-21,0.404762,0.121154,
60-instance-7, 60, 22, 0.032,1.319,1.711,51,20,7.06652e-15,0.318182,0.130625,
60-instance-8, 60, 45, 0.027,1.09,6.009,39,25,1.5091e-29,0.288889,0.122727,
60-instance-9, 60, 25, 0.016,0.773,2.519,50,16,1.54731e-17,0.28,0.121429,
60-instance-10, 60, 24, 0.03,1.367,5.495,52,18,4.66142e-18,0.208333,0.105882,
