Name, n, |M|, distribution
TT_10_0.05_46, 10, 6, -24.9975,-9.99875,-16,-9.00125,-0.49625,-0.50375,-24.0025,0,-36,-4,
TT_10_0.05_47, 10, 2, -35,-3,-27,-2,-7,0,-15.5117,0,-16.4883,-44,
TT_10_0.05_48, 10, 5, 0,-2.98533,-9,-22,-5.008,-4.00667,-14,-31.9893,0,-32.0107,
TT_10_0.05_49, 10, 5, -11,-11,-28,-42,-41,0,-12,0,-21,-3,
TT_10_0.25_0, 10, 3, -12,-3,-41,-24.9892,-4,-16.0215,-50,0,-17.9892,-2,
TT_10_0.25_1, 10, 6, -1,-10,-1,-20,-45,0,0,-23,-45,-39,
TT_10_0.25_2, 10, 2, -25.5,-34.5,-1,0,0,-1,-45,-9,-25,0,
TT_10_0.25_3, 10, 4, -3,-31,-5,0,0,0,-1,-15,-1,-21,
TT_10_0.25_4, 10, 4, -34.0057,-6.00571,0,0,-36.9943,0,0,-13,-32,-3.99429,
TT_10_0.25_5, 10, 4, -9.00343,-23,-45.0057,-41.9943,0,0,0,-4,-22,-2.99657,
TT_10_0.25_6, 10, 4, 0,0,-1,-32.4971,-24,-17.5029,0,-32.5029,0,-11.4971,
TT_10_0.25_7, 10, 5, -6,-4,-2,-1.002,0,-1.002,-0.998,-12,-17,-0.998,
TT_10_0.25_8, 10, 3, -3,-1,-24.9877,-54,-6,0,-25.0246,-35.9877,-1,-11,
TT_10_0.25_9, 10, 2, -44,-1,-7,-1,-26.5,-2,0,-38.5,-13,0,
TT_10_0.25_10, 10, 7, -34.4859,-16.0047,0,-16.9976,-33.5141,-0.510588,0,-19.9976,-1,-0.489412,
TT_10_0.25_11, 10, 3, 0,-16,-20,-0.333846,-0.333077,0,-4,-29,0,-0.333077,
TT_10_0.25_12, 10, 4, -7,-24,0,-2,-0.5,-25,0,0,-0.5,-17,
TT_10_0.25_13, 10, 7, -17.48,-32.0141,0,-12.52,-5.97882,-11.0212,0,-30.9929,-44.9929,-2,
TT_10_0.25_14, 10, 7, 0,-9.00941,-2,-24,-3.99529,-33.0059,-30.9941,-0.995294,-0.499412,-5.50059,
TT_10_0.25_15, 10, 4, -1,-18.5,-15.5,0,-15.5,0,-18.5,-45,-2,0,
