Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_20_0.25_17, 20, 8, 0.061,2.559,417.475,41,1000,0.499808,0.5,0.48,3.05728,3.125,1,
TT_20_0.25_18, 20, 8, 0.128,2.681,499.983,41,1000,0.487513,0.491372,0.430304,5.393,6.125,1,
TT_20_0.25_19, 20, 13, 0.082,4.198,776.556,41,1000,0.503219,0.51453,0.275,1.56866,2.15385,0.275,
TT_20_0.25_20, 20, 17, 0.143,10.062,1629.87,41,1000,0.527769,0.534382,0.397,5.65582,8.29412,0.587,
TT_20_0.25_21, 20, 16, 0.075,3.362,1045.6,41,1000,0.518639,0.520563,0.477,4.54463,5.3125,1,
TT_20_0.25_22, 20, 11, 0.475,9.647,1175.29,41,1000,0.460471,0.470063,0.238,6.84958,8.54545,0.476,
TT_20_0.25_23, 20, 15, 0.297,6.954,1413.98,41,1000,0.4998,0.5,0.475,4.46519,5.46667,0.974,
TT_20_0.25_24, 20, 10, 0.059,2.164,481.283,41,1000,0.499753,0.5,0.478,1.43026,2,0.492,
TT_20_0.25_25, 20, 10, 0.402,6.26,874.909,41,1000,0.49991,0.5,0.481,4.15554,5.8,0.986,
TT_20_0.25_26, 20, 11, 0.252,4.815,890.483,41,1000,0.499852,0.5,0.484,5.20693,6.63636,0.968,
TT_20_0.25_27, 20, 13, 0.284,14.039,1492,41,1000,0.544286,0.552064,0.484,5.18414,6.69231,0.849,
TT_20_0.25_28, 20, 9, 0.604,34.937,2781.83,41,1000,0.499874,0.5,0.483,9.31935,10.2222,1,
TT_20_0.25_29, 20, 9, 0.077,3.156,592.785,41,1000,0.499478,0.5,0.46,3.64695,4.33333,1,
TT_20_0.25_30, 20, 12, 0.164,5.525,1077.44,41,1000,0.522963,0.525117,0.487,2.25338,3.75,0.493,
TT_20_0.25_31, 20, 15, 0.107,4.111,1184.83,41,1000,0.512647,0.5135,0.4775,6.9892,8.2,1,
TT_20_0.25_32, 20, 12, 0.104,3.894,1044.74,41,1000,0.499402,0.5,0.463,5.25714,7.16667,1,
TT_20_0.25_33, 20, 16, 0.737,14.273,2219.04,41,1000,0.504732,0.505738,0.466556,9.13843,12.5,1,
TT_20_0.25_34, 20, 10, 0.792,11.371,1330.59,41,1000,0.499884,0.5,0.4795,9.17812,12.3,1,
TT_20_0.25_35, 20, 9, 0.064,2.581,522.212,41,1000,0.499912,0.5,0.4865,6.54181,6.66667,1,
TT_20_0.25_36, 20, 12, 0.18,4.722,808.403,41,1000,0.503417,0.508795,0.339,3.94843,5.33333,0.489,
TT_20_0.25_37, 20, 9, 0.078,3.459,752.95,41,1000,0.4827,0.486301,0.403265,8.82934,9.55556,1,
TT_20_0.25_38, 20, 12, 0.116,3.731,949.848,41,1000,0.499675,0.5,0.471,4.60457,6.58333,0.96,
TT_20_0.25_39, 20, 9, 0.367,11.165,1346.64,41,1000,0.499792,0.5,0.475,3.56479,4.55556,0.996,
TT_20_0.25_40, 20, 13, 0.298,5.406,1078.92,41,1000,0.499914,0.5,0.485,3.27318,4.30769,0.492,
TT_20_0.25_41, 20, 9, 0.337,6.238,795.123,41,1000,0.509498,0.519222,0.327,6.35219,7.77778,0.673,
TT_20_0.25_42, 20, 8, 0.237,8.741,866.108,41,1000,0.499749,0.5,0.471,4.26243,6.125,1,
TT_20_0.25_43, 20, 12, 0.454,7.02,1132.5,41,1000,0.499851,0.5,0.4815,5.57268,6,1,
TT_20_0.25_44, 20, 10, 0.129,3.632,800.049,41,1000,0.499685,0.5,0.474,9.62746,10.4,1,
TT_20_0.25_45, 20, 13, 0.321,10.306,1340.15,41,1000,0.523607,0.526269,0.47,4.93917,6,1,
TT_20_0.25_46, 20, 12, 0.317,9.218,1483.4,41,1000,0.516051,0.519173,0.387,6.58776,8.58333,0.594,
TT_20_0.25_47, 20, 12, 0.242,7.027,1049.76,41,1000,0.5225,0.53176,0.339125,7.6772,13.9167,0.744,
TT_20_0.25_48, 20, 14, 1.532,48.935,3386.42,41,1000,0.542953,0.560128,0.299128,9.66602,15.0714,0.691,
TT_20_0.25_49, 20, 14, 0.706,26.266,2512.14,41,1000,0.548627,0.562657,0.414529,5.97007,7.71429,0.831,
TT_20_0.50_0, 20, 5, 0.205,7.887,508.798,41,1000,0.499795,0.5,0.481,9.193,9.2,1,
TT_20_0.50_1, 20, 10, 0.299,8.775,1196.23,41,1000,0.49967,0.5,0.466,7.70932,8.1,1,
TT_20_0.50_2, 20, 4, 0.141,6.63,13.376,41,24,0.5,0.5,0.5,15,15,1,
TT_20_0.50_3, 20, 7, 0.807,15.504,1189.36,41,1000,0.49965,0.5,0.469,4.55695,8.28571,0.479,
TT_20_0.50_4, 20, 15, 0.188,4.538,1070.87,41,1000,0.540827,0.544444,0.496,2.4275,3.2,0.652,
TT_20_0.50_5, 20, 9, 0.346,11.537,1833.86,41,1000,0.499675,0.5,0.4745,3.11509,4.33333,0.494,
TT_20_0.50_6, 20, 9, 0.775,25.716,1262.73,41,1000,0.477221,0.480821,0.335,3.50835,7,0.335,
TT_20_0.50_7, 20, 6, 0.814,10.706,1079.36,41,1000,0.499937,0.5,0.489,10.0402,11.5,1,
TT_20_0.50_8, 20, 7, 0.343,10.599,1109.14,41,1000,0.499647,0.5,0.468,3.74424,5,0.994,
TT_20_0.50_9, 20, 6, 0.08,2.794,516.106,41,1000,0.499896,0.5,0.486,4.48047,4.5,1,
TT_20_0.50_10, 20, 8, 0.321,16.293,1361.37,41,1000,0.519254,0.526899,0.407727,5.03704,5.5,1,
TT_20_0.50_11, 20, 7, 0.234,7.017,769.179,41,1000,0.499896,0.5,0.488,4.62834,6,1,
TT_20_0.50_12, 20, 8, 2.484,334.166,12486.2,41,1000,0.499751,0.5,0.471,6.23958,9,1,
TT_20_0.50_13, 20, 10, 0.364,10.742,1084.32,41,1000,0.499574,0.5,0.46,3.43462,3.6,1,
TT_20_0.50_14, 20, 5, 0.117,4.471,633.684,41,1000,0.499945,0.5,0.492,6.93069,7.6,1,
TT_20_0.50_15, 20, 11, 0.604,5.282,836.487,41,1000,0.522222,0.524121,0.478,3.01313,3.90909,0.494,
TT_20_0.50_16, 20, 7, 0.181,9.891,1038.08,41,1000,0.534018,0.537067,0.477,6.87002,8.14286,1,
TT_20_0.50_17, 20, 13, 0.26,7.294,1343.82,41,1000,0.51098,0.512802,0.466,3.7866,7.23077,0.471,
TT_20_0.50_18, 20, 8, 0.187,5.784,939.343,41,1000,0.577188,0.584009,0.495,5.61195,12,1,
TT_20_0.50_19, 20, 7, 1.536,92.247,6062.37,41,1000,0.469675,0.473857,0.362,8.03182,10.2857,1,
TT_20_0.50_20, 20, 8, 0.863,15.111,1776.86,41,1000,0.52797,0.530921,0.493,8.79225,10.5,1,
TT_20_0.50_21, 20, 6, 0.349,7.123,636.984,41,1000,0.499733,0.5,0.478,4.47901,4.5,1,
TT_20_0.50_22, 20, 6, 0.406,22.772,1567,41,1000,0.499712,0.5,0.478,5.66638,9.33333,0.956,
TT_20_0.50_23, 20, 6, 1.282,46.138,1740.97,41,1000,0.450299,0.453252,0.379195,12.8946,13.3333,1,
TT_20_0.50_24, 20, 7, 0.42,10.947,1641.21,41,1000,0.499916,0.5,0.49,3.3816,5.71429,0.49,
TT_20_0.50_25, 20, 9, 0.32,4.534,839.567,41,1000,0.53793,0.541556,0.478,3.51775,3.66667,1,
TT_20_0.50_26, 20, 8, 0.139,4.452,786.207,41,1000,0.499888,0.5,0.485,6.20632,7.5,1,
TT_20_0.50_27, 20, 8, 0.204,4.665,641.465,41,1000,0.538789,0.542063,0.483,7.2276,7.75,1,
TT_20_0.50_28, 20, 9, 1.197,37.336,2398.52,41,1000,0.591658,0.637261,0.245105,5.28055,9,0.853,
TT_20_0.50_29, 20, 14, 0.584,16.627,1933.77,41,1000,0.580255,0.596286,0.437269,9.16304,11.1429,0.789,
TT_20_0.50_30, 20, 7, 0.413,5.879,719.298,41,1000,0.531567,0.534629,0.487667,7.91308,10.2857,1,
TT_20_0.50_31, 20, 6, 0.318,3.86,485.856,41,1000,0.499735,0.5,0.481,2.05955,3,0.481,
TT_20_0.50_32, 20, 9, 0.828,26.392,2325.28,41,1000,0.530453,0.533222,0.472,3.31604,3.55556,1,
TT_20_0.50_33, 20, 8, 0.457,12.836,1936.68,41,1000,0.531305,0.547071,0.315,4.31851,4.375,1,
