Name, n, |M|, time solution, time partition, time distribution, generated solutions, geometric mean, arithmetic mean, minimum selection probability
20-instance-27, 20, 0, 0.002,0.012,0,21,1,-nan(ind),1,
20-instance-28, 20, 11, 0.005,0.031,0.219,17,1.74552e-08,0.272727,0.120476,
20-instance-29, 20, 6, 0.014,0.394,0.346,19,0.00137171,0.333333,0.33125,
20-instance-30, 20, 8, 0.021,0.301,0.39,18,1.18519e-05,0.25,0.2,
20-instance-31, 20, 5, 0.002,0.047,1.005,19,0.0740741,0.6,0.5,
20-instance-32, 20, 10, 0.015,0.22,0.358,16,2.37033e-05,0.4,0.2,
20-instance-33, 20, 0, 0.002,0.011,0,21,1,-nan(ind),1,
20-instance-34, 20, 0, 0.001,0.021,0,21,1,-nan(ind),1,
20-instance-35, 20, 8, 0.005,0.16,0.466,16,0.000391028,0.375,0.373333,
20-instance-36, 20, 3, 0.008,0.061,0.211,20,0.0370366,0.333333,0.332308,
20-instance-37, 20, 5, 0.014,0.523,0.222,20,0.00032,0.2,0.2,
20-instance-38, 20, 5, 0.002,0.018,0.286,20,0.00032,0.2,0.2,
20-instance-39, 20, 0, 0.003,0.11,0,21,1,-nan(ind),1,
20-instance-40, 20, 9, 0.015,0.097,0.635,17,0.000578637,0.444444,0.331579,
20-instance-41, 20, 7, 0.003,0.048,0.55,18,0.00265556,0.428571,0.428235,
20-instance-42, 20, 5, 0.083,0.078,0.778,18,0.0740741,0.6,0.5,
20-instance-43, 20, 8, 0.051,0.122,0.362,17,0.00303407,0.5,0.4,
20-instance-44, 20, 5, 0.027,0.065,0.759,18,0.0740741,0.6,0.5,
20-instance-45, 20, 11, 0.023,0.178,0.648,17,2.80862e-05,0.454545,0.199048,
20-instance-46, 20, 6, 0.001,0.018,0.148,20,2.14266e-05,0.166667,0.165,
20-instance-47, 20, 8, 0.014,0.293,0.308,17,0.0197743,0.625,0.497778,
20-instance-48, 20, 2, 0.013,0.147,0.267,20,0.249997,0.5,0.498333,
20-instance-49, 20, 2, 0.001,0.011,0.301,20,0.249997,0.5,0.498333,
20-instance-50, 20, 3, 0.048,0.387,0.672,20,0.296294,0.666667,0.664615,
30-instance-1, 30, 7, 0.023,0.67,0.512,26,0.018518,0.571429,0.498235,
30-instance-2, 30, 8, 0.004,0.055,0.493,29,0.0012358,0.5,0.248889,
30-instance-3, 30, 7, 0.003,0.035,0.169,28,7.99803e-05,0.285714,0.197647,
30-instance-4, 30, 0, 0.018,0.326,0,31,1,-nan(ind),1,
30-instance-5, 30, 15, 0.015,0.077,0.162,30,2.27249e-18,0.0666667,0.066,
30-instance-6, 30, 10, 0.015,0.209,0.565,26,0.00303385,0.6,0.33,
30-instance-7, 30, 2, 0.001,0.015,0.315,30,0.249997,0.5,0.498333,
30-instance-8, 30, 8, 0.018,0.387,0.038,30,5.95723e-08,0.125,0.124444,
30-instance-9, 30, 15, 0.018,0.52,1.013,26,1.00981e-10,0.266667,0.132,
30-instance-10, 30, 13, 0.005,0.176,1.124,25,3.64163e-08,0.307692,0.146957,
30-instance-11, 30, 4, 0.003,0.035,0.995,30,0.316404,0.75,0.748571,
30-instance-12, 30, 17, 0.015,0.071,0.904,26,5.15529e-16,0.176471,0.0692593,
30-instance-13, 30, 5, 0.021,0.265,1.232,29,0.00925926,0.4,0.333333,
30-instance-14, 30, 14, 0.02,0.458,0.779,26,1.2742e-12,0.142857,0.1225,
30-instance-15, 30, 9, 0.019,0.674,0.582,29,7.93529e-07,0.222222,0.165789,
30-instance-16, 30, 0, 0.045,1.123,0,31,1,-nan(ind),1,
30-instance-17, 30, 3, 0.002,0.096,1.014,30,0.296294,0.666667,0.664615,
30-instance-18, 30, 13, 0.017,0.67,0.673,26,2.67557e-05,0.538462,0.197826,
30-instance-19, 30, 21, 0.022,0.535,1.502,24,3.20161e-15,0.285714,0.108387,
30-instance-20, 30, 7, 0.033,0.254,0.251,28,7.99803e-05,0.285714,0.197647,
30-instance-21, 30, 4, 0.001,0.024,0.271,28,0.0625,0.5,0.5,
30-instance-22, 30, 17, 0.013,0.573,0.867,26,1.03264e-15,0.176471,0.0818519,
30-instance-23, 30, 11, 0.027,0.478,0.587,24,0.000809916,0.545455,0.398095,
30-instance-24, 30, 13, 0.023,0.56,0.451,23,2.42758e-06,0.384615,0.282609,
30-instance-25, 30, 15, 0.031,0.568,0.64,26,1.33063e-12,0.2,0.102,
30-instance-26, 30, 6, 0.023,0.176,0.054,30,2.14266e-05,0.166667,0.165,
30-instance-27, 30, 14, 0.023,0.72,0.857,23,3.68937e-07,0.357143,0.2975,
30-instance-28, 30, 5, 0.005,0.16,0.549,29,0.0740741,0.6,0.5,
30-instance-29, 30, 9, 0.087,0.11,0.119,26,0.0260115,0.666667,0.664211,
30-instance-30, 30, 3, 0.006,0.064,0.204,30,0.0370366,0.333333,0.332308,
30-instance-31, 30, 6, 0.017,0.706,0.361,29,0.0156247,0.5,0.49875,
30-instance-32, 30, 11, 0.009,0.219,0.685,26,4.57706e-05,0.454545,0.248571,
30-instance-33, 30, 12, 0.02,0.598,1.01,28,2.55805e-08,0.25,0.196364,
30-instance-34, 30, 14, 0.017,0.412,1.113,26,3.26726e-10,0.214286,0.163333,
30-instance-35, 30, 10, 0.013,0.297,0.446,28,4.49221e-08,0.2,0.14,
30-instance-36, 30, 6, 0.02,0.39,0.226,28,0.0742535,0.666667,0.43375,
30-instance-37, 30, 7, 0.023,0.422,0.421,29,0.000144662,0.285714,0.247059,
30-instance-38, 30, 3, 0.016,0.365,0.179,30,0.0370366,0.333333,0.332308,
30-instance-39, 30, 7, 0.015,0.324,0.389,28,0.00265556,0.428571,0.428235,
30-instance-40, 30, 0, 0.052,0.233,0,31,1,-nan(ind),1,
30-instance-41, 30, 12, 0.046,0.468,0.746,23,0.00137163,0.583333,0.496364,
30-instance-42, 30, 13, 0.033,0.526,1.135,25,2.21461e-07,0.307692,0.305217,
30-instance-43, 30, 7, 0.041,0.542,0.047,30,1.21357e-06,0.142857,0.14,
30-instance-44, 30, 9, 0.027,0.573,0.745,27,1.9995e-05,0.333333,0.198947,
30-instance-45, 30, 8, 0.005,0.05,0.225,26,0.000342929,0.375,0.333333,
