Name, n, |M|, time solution, time partition, time distribution, generated solutions, geometric mean, arithmetic mean, minimum selection probability
70-instance-5, 70, 30, 0.068,3.266,38.337,53,1.40455e-12,0.466667,0.205,
70-instance-6, 70, 34, 0.071,3.016,100.991,46,8.88552e-19,0.323529,0.123636,
70-instance-7, 70, 33, 0.031,1.541,24.599,48,2.89921e-16,0.393939,0.13814,
70-instance-8, 70, 24, 0.017,0.726,2.923,60,1.2093e-17,0.291667,0.0776471,
70-instance-9, 70, 43, 0.052,1.998,336.807,48,6.31325e-23,0.395349,0.105472,
70-instance-10, 70, 35, 0.043,2.257,204.342,44,3.13658e-15,0.428571,0.194444,
70-instance-11, 70, 21, 0.092,2.56,1.599,63,1.46342e-16,0.190476,0.155806,
70-instance-12, 70, 31, 0.113,3.827,8.566,52,1.07123e-14,0.451613,0.105854,
70-instance-13, 70, 30, 0.057,2.07,3.337,56,9.80831e-22,0.3,0.105,
70-instance-14, 70, 18, 0.051,2.454,1.89,62,1.54029e-09,0.388889,0.219286,
70-instance-15, 70, 45, 0.055,1.612,3.192,49,1.77061e-39,0.244444,0.0654545,
70-instance-16, 70, 23, 0.042,2.321,3.735,56,3.42407e-08,0.521739,0.264848,
70-instance-17, 70, 20, 0.059,2.123,1.106,57,2.97842e-08,0.45,0.313333,
70-instance-18, 70, 38, 0.057,2.12,14.724,49,3.66113e-25,0.236842,0.150417,
70-instance-19, 70, 28, 0.065,2.107,7.055,49,2.55816e-10,0.464286,0.397895,
70-instance-20, 70, 9, 0.041,2.494,0.585,68,3.03424e-07,0.222222,0.142105,
70-instance-21, 70, 27, 0.045,1.69,4.813,51,1.18987e-10,0.444444,0.35027,
70-instance-22, 70, 26, 0.021,1.574,2.305,61,2.99518e-23,0.192308,0.065,
70-instance-23, 70, 20, 0.036,2.173,2.468,61,2.8674e-11,0.3,0.22,
70-instance-24, 70, 35, 0.04,2.516,10.373,50,4.62067e-22,0.371429,0.07,
70-instance-25, 70, 34, 0.075,2.48,8.276,56,1.08527e-24,0.294118,0.0927273,
70-instance-26, 70, 37, 0.019,0.961,5.122,56,5.64608e-28,0.297297,0.0551064,
70-instance-27, 70, 32, 0.108,2.668,3.956,57,1.0481e-27,0.21875,0.0533333,
70-instance-28, 70, 24, 0.058,3.021,2.651,60,1.24815e-17,0.208333,0.175014,
70-instance-29, 70, 26, 0.081,3.919,7.04,54,2.10704e-11,0.423077,0.274444,
70-instance-30, 70, 33, 0.049,3.551,1.498,63,2.35793e-39,0.121212,0.0383721,
70-instance-31, 70, 39, 0.112,1.51,4.958,52,3.39977e-28,0.333333,0.0636735,
70-instance-32, 70, 32, 0.05,1.77,3.985,53,3.72845e-18,0.34375,0.205714,
70-instance-33, 70, 15, 0.037,2.573,3.494,62,5.7395e-08,0.333333,0.246,
70-instance-34, 70, 31, 0.027,1.984,2.315,61,3.59611e-31,0.129032,0.0756098,
70-instance-35, 70, 35, 0.063,1.79,4.513,52,1.61604e-23,0.285714,0.116667,
70-instance-36, 70, 36, 0.036,2.224,10.635,59,1.51842e-36,0.166667,0.0391304,
70-instance-37, 70, 39, 0.031,2.86,3.355,57,1.16893e-41,0.128205,0.0397959,
70-instance-38, 70, 29, 0.047,2.422,5.546,56,2.86659e-14,0.413793,0.118974,
70-instance-39, 70, 34, 0.031,2.044,3.712,51,1.30257e-27,0.205882,0.0927273,
70-instance-40, 70, 10, 0.044,1.655,0.401,64,8.5721e-05,0.4,0.33,
70-instance-41, 70, 19, 0.043,2.611,3.457,58,3.00672e-05,0.578947,0.497931,
70-instance-42, 70, 20, 0.041,2.015,1.685,58,2.8809e-07,0.5,0.333333,
70-instance-43, 70, 30, 0.069,2.315,2.523,55,2.88479e-22,0.2,0.165,
70-instance-44, 70, 35, 0.04,2.202,5.269,47,6.07192e-26,0.2,0.14,
70-instance-45, 70, 38, 0.064,2.335,6.359,48,5.66735e-24,0.315789,0.0870833,
70-instance-46, 70, 30, 0.053,2.139,263.6,49,3.01939e-09,0.533333,0.4125,
70-instance-47, 70, 31, 0.06,2.656,8.26,53,1.4081e-24,0.193548,0.105854,
70-instance-48, 70, 17, 0.022,1.176,1.525,60,1.56738e-08,0.352941,0.295926,
70-instance-49, 70, 31, 0.033,1.496,3.382,50,1.95757e-17,0.290323,0.272195,
70-instance-50, 70, 32, 0.061,2.205,33.098,46,2.59704e-14,0.40625,0.281905,
