Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.25_1, 10, 6, 0.152,0.969,0.162,21,2,0.5,0.5,0.5,2.71442,3.33333,1,
TT_10_0.25_2, 10, 2, 0.067,0.781,0.191,21,2,0.5,0.5,0.5,4.5,4.5,1,
TT_10_0.25_3, 10, 4, 0.065,0.782,0.204,21,2,0.5,0.5,0.5,2,2.5,1,
TT_10_0.25_4, 10, 4, 0.038,0.699,0.14,21,3,0.499999,0.5,0.499048,3.87298,4,1,
TT_10_0.25_5, 10, 4, 0.042,0.661,0.158,21,2,0.5,0.5,0.499429,3.87298,4,1,
TT_10_0.25_6, 10, 4, 0.064,0.868,0.157,21,3,0.5,0.5,0.499592,3.96863,4,1,
TT_10_0.25_7, 10, 5, 0.012,0.481,0.123,21,2,0.574348,0.6,0.499,0.999998,1,0.998,
TT_10_0.25_8, 10, 3, 0.06,1.368,0.178,21,3,0.499999,0.5,0.498462,7.99998,8,1,
TT_10_0.25_9, 10, 2, 0.038,0.661,0.19,21,2,0.5,0.5,0.5,4.5,4.5,1,
TT_10_0.25_10, 10, 7, 0.055,0.772,0.085,21,5,0.499967,0.5,0.489412,2.90255,4.42857,0.489412,
TT_10_0.25_11, 10, 3, 0.026,0.502,0.156,21,3,0.666667,0.666667,0.666154,0.666667,0.666667,0.666154,
TT_10_0.25_12, 10, 4, 0.069,0.93,0.16,21,2,0.5,0.5,0.5,1,1.25,0.5,
TT_10_0.25_13, 10, 7, 0.041,0.718,0.432,21,5,0.499996,0.5,0.497143,5.80914,6.28571,1,
TT_10_0.25_14, 10, 7, 0.066,0.934,0.258,21,4,0.514349,0.52937,0.332549,2.35354,3.28571,0.499412,
TT_10_0.25_15, 10, 4, 0.03,0.558,0.117,21,4,0.5,0.5,0.5,10.5,10.5,1,
