Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.50_14, 10, 4, 0.09,1.898,0.458,21,2,0.5,0.5,0.5,3.87298,4,1,
TT_10_0.50_15, 10, 2, 0.033,0.499,0.092,21,2,0.5,0.5,0.5,5,5,1,
TT_10_0.50_16, 10, 6, 0.113,0.859,0.43,21,2,0.5,0.5,0.5,1.88988,2.66667,0.5,
TT_10_0.50_17, 10, 2, 0.019,0.278,0.085,21,2,0.5,0.5,0.5,1,1,1,
TT_10_0.50_18, 10, 5, 0.032,0.528,0.179,21,4,0.5,0.5,0.5,5.74753,6.2,1,
TT_10_0.50_19, 10, 6, 0.087,0.808,0.446,21,2,0.5,0.5,0.5,1.77845,2.5,0.5,
TT_15_0.05_0, 15, 11, 0.043,1.528,0.703,31,8,0.5,0.5,0.5,4.7379,5.54545,1,
TT_15_0.05_1, 15, 12, 0.039,1.141,0.522,31,6,0.5,0.5,0.5,1.72394,2.25,0.5,
TT_15_0.05_2, 15, 13, 0.034,1.551,0.905,31,9,0.482526,0.483516,0.428571,2.48646,3.15385,0.5,
TT_15_0.05_3, 15, 11, 0.08,3.508,1.783,31,8,0.5,0.5,0.5,6.78642,7.90909,1,
TT_15_0.05_4, 15, 10, 0.188,2.623,1.136,31,6,0.467624,0.47,0.4,2.68674,4.4,0.4,
TT_15_0.05_5, 15, 9, 0.068,1.825,0.837,31,7,0.43679,0.444444,0.333333,2.89775,5.33333,0.666667,
TT_15_0.05_6, 15, 10, 0.106,4.444,1.115,31,9,0.5,0.5,0.5,19.3872,23.1,1,
TT_15_0.05_7, 15, 13, 0.067,2.753,1.171,31,6,0.5,0.5,0.5,3.17122,3.84615,0.5,
TT_15_0.05_8, 15, 10, 0.06,2.014,1.031,31,7,0.5,0.5,0.5,3.99743,4.7,1,
TT_15_0.05_9, 15, 11, 0.077,2.707,1.196,31,10,0.5,0.5,0.5,17.153,18,1,
TT_15_0.05_10, 15, 10, 0.08,3.249,0.908,31,8,0.5,0.5,0.5,6.63715,7.5,1,
TT_15_0.05_11, 15, 9, 0.089,2.386,0.979,31,7,0.5,0.5,0.5,6.48036,8.11111,1,
TT_15_0.05_12, 15, 7, 0.089,2.401,0.694,31,4,0.5,0.5,0.5,3.50979,4.85714,1,
TT_15_0.05_13, 15, 10, 0.257,1.842,0.724,31,4,0.5,0.5,0.5,3.52824,5,1,
TT_15_0.05_14, 15, 12, 0.107,3.649,1.579,31,9,0.472163,0.473684,0.421053,4.49284,6.5,0.842105,
TT_15_0.05_15, 15, 10, 0.102,3.148,0.965,31,8,0.5,0.5,0.5,8.17221,9.3,1,
TT_15_0.05_16, 15, 10, 0.059,1.995,0.736,31,6,0.5,0.5,0.5,2.81635,3,1,
TT_15_0.05_17, 15, 7, 0.057,1.971,0.51,31,2,0.5,0.5,0.5,5.07243,5.14286,1,
TT_15_0.05_18, 15, 7, 0.051,1.578,0.41,31,4,0.5,0.5,0.5,2.43803,4.14286,0.5,
TT_15_0.05_19, 15, 10, 0.107,2.448,0.805,31,8,0.5,0.5,0.5,9.58732,11.3,1,
TT_15_0.25_0, 15, 6, 0.184,2.851,0.656,31,2,0.5,0.5,0.5,2.2407,3.33333,0.5,
TT_15_0.25_1, 15, 8, 0.052,1.187,0.574,31,6,0.40903,0.414634,0.333333,1.83208,3.625,0.333333,
TT_15_0.25_2, 15, 9, 0.226,2.487,1.083,31,6,0.463305,0.464387,0.435897,3.00381,3.66667,0.435897,
TT_15_0.25_3, 15, 9, 0.084,2.215,1.085,31,5,0.469434,0.471264,0.413793,2.92397,3.44444,1,
TT_15_0.25_4, 15, 10, 0.067,1.995,1.027,31,7,0.485211,0.485714,0.452381,5.84193,6.4,1,
TT_15_0.25_5, 15, 5, 0.051,1.945,0.316,31,4,0.5,0.5,0.5,4.79366,4.8,1,
TT_15_0.25_6, 15, 5, 0.191,4.276,0.683,31,2,0.5,0.5,0.5,5.86602,6,1,
TT_15_0.25_7, 15, 7, 0.062,1.499,0.483,31,5,0.5,0.5,0.5,5.45037,6,1,
TT_15_0.25_8, 15, 6, 0.052,1.313,0.499,31,5,0.447214,0.45,0.4,5.63454,6.66667,1,
TT_15_0.25_9, 15, 13, 0.241,5.907,5.809,31,9,0.487261,0.487692,0.466667,3.54251,5.38462,0.466667,
TT_15_0.25_10, 15, 6, 0.046,1.44,0.405,31,2,0.5,0.5,0.5,3.91487,4,1,
TT_15_0.25_11, 15, 10, 0.133,2.992,3.009,31,7,0.458657,0.4625,0.375,3.17922,4.1,0.75,
TT_15_0.25_12, 15, 5, 0.147,2.751,0.568,31,4,0.5,0.5,0.5,3.98107,6.4,1,
TT_15_0.25_13, 15, 6, 0.052,1.411,0.313,31,5,0.5,0.5,0.5,6.32574,6.5,1,
TT_15_0.25_14, 15, 6, 0.056,1.588,0.627,31,4,0.5,0.5,0.5,4.28631,4.33333,1,
TT_15_0.25_15, 15, 9, 0.088,1.837,0.924,31,4,0.464159,0.466667,0.4,3.92181,4,1,
TT_15_0.25_16, 15, 4, 0.059,1.078,0.217,31,2,0.5,0.5,0.5,1.11803,1.5,0.5,
TT_15_0.25_17, 15, 7, 0.156,1.717,0.807,31,5,0.529448,0.530612,0.5,3.18606,3.42857,1,
TT_15_0.25_18, 15, 11, 0.069,3.028,1.369,31,8,0.5,0.5,0.5,4.28757,6,0.5,
TT_15_0.25_19, 15, 9, 0.047,1.275,0.618,31,7,0.505962,0.506006,0.5,8.00083,9,1,
TT_15_0.50_0, 15, 5, 0.146,2.335,0.742,31,4,0.458861,0.46,0.433333,6.16575,7,1,
TT_15_0.50_1, 15, 7, 0.332,4.577,1.007,31,4,0.5,0.5,0.5,9.80829,11.8571,1,
TT_15_0.50_2, 15, 4, 0.165,2.341,0.533,31,2,0.5,0.5,0.5,3.67423,3.75,1,
TT_15_0.50_3, 15, 4, 0.028,0.79,0.239,31,2,0.5,0.5,0.5,3.53553,3.75,1,
TT_15_0.50_4, 15, 4, 0.108,4.957,1.624,31,3,0.534884,0.534884,0.534884,4.03548,5.75,1,
TT_15_0.50_5, 15, 8, 0.057,1.661,0.812,31,5,0.5,0.5,0.5,7.89837,10.75,0.5,
TT_15_0.50_6, 15, 4, 0.108,1.914,0.412,31,2,0.5,0.5,0.5,4.74342,4.75,1,
TT_15_0.50_7, 15, 0, 0.053,1.26,1.07622e-311,31,1,0,0,1,0,0,1,
TT_15_0.50_8, 15, 7, 0.128,2.287,0.619,31,4,0.475387,0.47619,0.444444,1.27965,1.85714,0.444444,
TT_15_0.50_9, 15, 4, 0.097,1.928,0.368,31,2,0.5,0.5,0.5,4.97494,5,1,
TT_15_0.50_10, 15, 7, 0.076,1.678,0.781,31,6,0.435163,0.436278,0.409091,12.3518,17.4286,1,
TT_15_0.50_11, 15, 8, 0.124,2.498,1.189,31,6,0.502535,0.510181,0.411765,4.08466,4.875,1,
TT_15_0.50_12, 15, 6, 0.133,1.932,0.522,31,2,0.5,0.5,0.5,2.75892,3,1,
TT_15_0.50_13, 15, 4, 0.073,2.084,0.487,31,2,0.5,0.5,0.5,2.23607,3,1,
TT_15_0.50_14, 15, 2, 0.129,4.084,0.341,31,2,0.5,0.5,0.5,3.5,3.5,1,
TT_15_0.50_15, 15, 10, 0.104,2.703,1.244,31,8,0.469675,0.473333,0.416667,3.35182,4.2,0.416667,
TT_15_0.50_16, 15, 5, 0.11,3.131,1.173,31,2,0.5,0.5,0.5,2.69342,3.4,0.5,
TT_15_0.50_17, 15, 6, 0.375,4.744,2.306,31,2,0.5,0.5,0.5,2.3811,2.83333,1,
TT_15_0.50_18, 15, 0, 0.295,9.689,1.07621e-311,31,1,0,0,1,0,0,1,
TT_15_0.50_19, 15, 7, 0.153,2.581,0.873,31,6,0.396594,0.404762,0.333333,2.93949,4.28571,0.666667,
TT_20_0.05_0, 20, 13, 0.09,4.759,2.027,41,10,0.5,0.5,0.5,7.91691,9.92308,1,
TT_20_0.05_1, 20, 14, 0.063,2.675,1.035,41,10,0.5,0.5,0.5,4.07058,4.21429,1,
TT_20_0.05_2, 20, 17, 0.142,3.576,2.003,41,13,0.5076,0.50774,0.5,3.21049,4.70588,0.5,
TT_20_0.05_3, 20, 17, 0.484,6.153,2.836,41,12,0.5,0.5,0.5,6.6498,7.11765,1,
TT_20_0.05_4, 20, 17, 0.094,4.651,3.237,41,11,0.514215,0.514706,0.5,5.51282,6.41176,1,
TT_20_0.05_5, 20, 13, 0.082,3.719,1.745,41,10,0.5,0.5,0.5,7.05651,8.23077,1,
TT_20_0.05_6, 20, 15, 0.085,3.669,1.662,41,11,0.5,0.5,0.5,5.6327,7.86667,0.5,
TT_20_0.05_7, 20, 17, 0.09,4.169,2.406,41,9,0.5,0.5,0.5,4.1502,6.11765,0.5,
TT_20_0.05_8, 20, 10, 0.111,3.997,1.018,41,8,0.5,0.5,0.5,9.22822,9.6,1,
TT_20_0.05_9, 20, 16, 0.078,3.263,1.777,41,12,0.479512,0.48125,0.4,4.26641,6.25,0.4,
TT_20_0.05_10, 20, 14, 0.156,5.494,1.956,41,9,0.5,0.5,0.5,5.44538,5.71429,1,
TT_20_0.05_11, 20, 16, 0.107,3.507,1.748,41,11,0.5,0.5,0.5,4.07846,6.6875,0.5,
TT_20_0.05_12, 20, 14, 0.079,3.464,1.593,41,10,0.5,0.5,0.5,5.27168,5.92857,1,
TT_20_0.05_13, 20, 16, 0.297,4.526,1.894,41,11,0.5,0.5,0.5,4.15452,5.4375,0.5,
TT_20_0.05_14, 20, 12, 0.096,4.283,1.377,41,9,0.5,0.5,0.5,6.34423,9.08333,0.5,
TT_20_0.05_15, 20, 14, 0.083,3.287,1.357,41,11,0.5,0.5,0.5,7.84054,8.78571,1,
TT_20_0.05_16, 20, 16, 0.11,5.772,1.994,41,11,0.473744,0.476562,0.375,3.76091,4.875,0.75,
TT_20_0.05_17, 20, 17, 0.068,3.26,1.295,41,12,0.5,0.5,0.5,4.0813,5.29412,1,
TT_20_0.05_18, 20, 17, 0.064,3.309,1.922,41,12,0.454633,0.459559,0.333333,2.89184,4.35294,0.333333,
TT_20_0.05_19, 20, 12, 0.056,2.775,1.063,41,8,0.5,0.5,0.5,4.07711,4.66667,1,
TT_20_0.25_0, 20, 8, 0.131,3.286,0.957,41,6,0.5,0.5,0.5,7.77006,9,1,
TT_20_0.25_1, 20, 10, 0.464,6.873,1.456,41,8,0.5,0.5,0.5,11.6947,16.5,1,
TT_20_0.25_2, 20, 10, 0.236,3.592,0.982,41,6,0.5,0.5,0.5,3.34695,3.5,1,
TT_20_0.25_3, 20, 12, 0.071,2.712,1.102,41,9,0.5,0.5,0.5,6.02065,8.16667,1,
TT_20_0.25_4, 20, 10, 0.459,12.813,2.787,41,6,0.5,0.5,0.5,5.51954,6.8,1,
TT_20_0.25_5, 20, 14, 0.094,3.529,1.593,41,10,0.5,0.5,0.5,4.63457,8,0.5,
TT_20_0.25_6, 20, 13, 0.181,5.104,2.719,41,10,0.479977,0.480443,0.457627,4.70609,6,0.457627,
TT_20_0.25_7, 20, 13, 0.093,6.073,3.22,41,9,0.455338,0.461538,0.333333,4.06961,5.38462,1,
TT_20_0.25_8, 20, 13, 0.063,3.219,1.286,41,8,0.455338,0.461538,0.333333,1.70294,3.92308,0.333333,
TT_20_0.25_9, 20, 10, 0.274,5.199,2.224,41,8,0.462166,0.464286,0.410714,6.87,7.8,1,
TT_20_0.25_10, 20, 11, 0.593,12.077,4.341,41,9,0.55579,0.559553,0.5,11.4216,16.5455,1,
TT_20_0.25_11, 20, 7, 0.083,2.663,1.025,41,2,0.5,0.5,0.5,4.68298,5,1,
TT_20_0.25_12, 20, 16, 0.271,18.83,8.261,41,10,0.5,0.5,0.5,6.50937,8,1,
TT_20_0.25_13, 20, 11, 0.494,14.797,4.641,41,7,0.5,0.5,0.5,4.76444,5.90909,1,
TT_20_0.25_14, 20, 14, 0.083,4.152,1.735,41,10,0.458391,0.464286,0.333333,5.39018,9,1,
TT_20_0.25_15, 20, 14, 1.009,18.04,8.079,41,11,0.454171,0.459184,0.357143,4.87237,7,0.357143,
TT_20_0.25_16, 20, 14, 0.19,3.561,1.365,41,10,0.5,0.5,0.5,4.26711,5.42857,0.5,
TT_20_0.25_17, 20, 12, 0.34,11.141,5.082,41,9,0.5,0.5,0.5,8.66854,9.5,1,
TT_20_0.25_18, 20, 12, 0.329,7.434,3.524,41,8,0.484797,0.485119,0.464286,3.2604,4.08333,0.928571,
TT_20_0.25_19, 20, 11, 0.545,39.371,11.976,41,8,0.52794,0.529326,0.5,6.65644,7.36364,1,
TT_20_0.50_0, 20, 6, 0.275,10.335,3.019,41,3,0.477839,0.480769,0.442308,4.16704,6,0.884615,
TT_20_0.50_1, 20, 4, 0.19,2.99,0.585,41,2,0.5,0.5,0.5,1.41421,2.25,0.5,
TT_20_0.50_2, 20, 6, 0.318,6.448,1.716,41,5,0.5,0.5,0.5,9.52441,10,1,
TT_20_0.50_3, 20, 5, 0.42,5.806,0.831,41,4,0.5,0.5,0.5,4.93126,6.2,1,
TT_20_0.50_4, 20, 5, 0.161,10.43,1.085,41,5,0.5,0.5,0.5,20,20,1,
TT_20_0.50_5, 20, 6, 0.629,6.87,2.501,41,5,0.467099,0.468182,0.436364,7.90616,8.5,1,
TT_20_0.50_6, 20, 10, 0.302,12.214,6.591,41,4,0.5,0.5,0.5,4.13735,5.3,1,
TT_20_0.50_7, 20, 4, 0.08,3.067,0.542,41,4,0.5,0.5,0.5,15,15,1,
TT_20_0.50_8, 20, 12, 0.532,7.794,4.053,41,8,0.512057,0.5125,0.5,5.19693,6.66667,1,
TT_20_0.50_9, 20, 4, 0.666,15.999,0.439,41,4,0.5,0.5,0.5,15,15,1,
TT_20_0.50_10, 20, 11, 0.083,3.52,1.571,41,9,0.5,0.5,0.5,9.70567,14.3636,1,
TT_20_0.50_11, 20, 11, 0.538,17.206,6.796,41,7,0.5,0.5,0.5,1.67333,2.90909,0.5,
TT_20_0.50_12, 20, 7, 0.511,17.775,4.894,41,5,0.537405,0.539286,0.5,8.41283,12.4286,1,
TT_20_0.50_13, 20, 5, 0.275,4.791,1.359,41,4,0.465885,0.466667,0.444444,6.80226,8.2,1,
TT_20_0.50_14, 20, 6, 0.095,2.736,0.514,41,5,0.5,0.5,0.5,10.0415,11.5,1,
TT_20_0.50_15, 20, 6, 0.585,12.832,3.763,41,4,0.5,0.5,0.5,9.48683,9.5,1,
TT_20_0.50_16, 20, 5, 0.567,4.865,0.862,41,4,0.5,0.5,0.5,7.11432,7.4,1,
TT_20_0.50_17, 20, 6, 0.241,26.405,4.692,41,4,0.5,0.5,0.5,4.4814,4.5,1,
