Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
30-instance-1, 30, 7, 0.018,0.26,5.99,26,180,0.54689,0.571429,0.333333,
30-instance-2, 30, 8, 0.003,0.04,0.831,29,72,0.432543,0.5,0.25,
30-instance-3, 30, 7, 0.001,0.014,0.013,28,10,0.259853,0.285714,0.2,
30-instance-4, 30, 0, 0.011,0.149,0,31,0,0,0,1,
30-instance-5, 30, 15, 0.008,0.037,0.06,30,15,0.0666667,0.0666667,0.0666667,
30-instance-6, 30, 10, 0.014,0.1,2.447,26,136,0.527769,0.6,0.117647,
30-instance-7, 30, 2, 0.001,0.011,0.001,30,2,0.5,0.5,0.5,
30-instance-8, 30, 8, 0.01,0.185,1.33,30,80,0.114564,0.125,0.075,
30-instance-9, 30, 15, 0.01,0.178,3.773,26,201,0.111859,0.266667,0.0149254,
30-instance-10, 30, 13, 0.002,0.051,1.9,25,117,0.232751,0.307692,0.102564,
30-instance-11, 30, 4, 0.002,0.031,0.182,30,12,0.745356,0.75,0.666667,
30-instance-12, 30, 17, 0.012,0.064,1.103,26,82,0.103915,0.176471,0.0243902,
30-instance-13, 30, 5, 0.008,0.111,0.264,29,20,0.35652,0.4,0.2,
