Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.05_49, 10, 5, 0.028,0.531,23.229,21,1000,0.536724,0.5393,0.4857,5.36724,5.393,1,
TT_10_0.25_0, 10, 3, 0.029,0.528,24.275,21,1000,0.472073,0.473,0.435714,6.60903,6.622,1,
TT_10_0.25_1, 10, 6, 0.13,0.818,36.429,21,1000,-nan(ind),0.384933,-0.2985,-nan(ind),3.25267,-0.597,
TT_10_0.25_2, 10, 2, 0.043,0.608,29.703,21,1000,0.445662,0.445889,0.431667,4.01096,4.013,1,
TT_10_0.25_3, 10, 4, 0.053,0.697,29.359,21,1000,0.500447,0.500906,0.4735,2.00179,2.502,0.947,
TT_10_0.25_4, 10, 4, 0.034,0.592,27.27,21,1000,0.573618,0.579425,0.498,4.44322,4.79425,1,
TT_10_0.25_5, 10, 4, 0.045,0.586,27.356,21,1000,0.573684,0.575033,0.513,4.44374,4.65,1,
TT_10_0.25_6, 10, 4, 0.042,0.735,30.234,21,1000,0.49993,0.504893,0.412,3.96807,4.10625,1,
TT_10_0.25_7, 10, 5, 0.011,0.379,15.343,21,1000,0.562795,0.5665,0.471,0.979883,1,0.665,
TT_10_0.25_8, 10, 3, 0.057,1.154,49.385,21,1000,0.54757,0.547667,0.535812,8.76112,8.76267,1,
TT_10_0.25_9, 10, 2, 0.029,0.561,26.102,21,1000,0.45125,0.451333,0.442667,4.06125,4.062,1,
TT_10_0.25_10, 10, 7, 0.041,0.606,25.848,21,1000,0.49986,0.5,0.479,2.90193,4.42857,0.5,
TT_10_0.25_11, 10, 3, 0.022,0.429,21.871,21,1000,0.666533,0.666667,0.648,0.666533,0.666667,0.648,
TT_10_0.25_12, 10, 4, 0.086,0.963,53.56,21,1000,0.502406,0.502625,0.48,1.00481,1.2605,0.48,
TT_10_0.25_13, 10, 7, 0.044,0.845,27.048,21,1000,0.501242,0.501976,0.4605,5.82361,6.27314,1,
TT_10_0.25_14, 10, 7, 0.05,0.744,33.944,21,1000,0.532903,0.536057,0.435286,2.43844,3.55929,0.509,
TT_10_0.25_15, 10, 4, 0.024,0.47,21.726,21,1000,0.499873,0.5,0.488333,10.4973,10.5,1,
TT_10_0.25_16, 10, 9, 0.093,1.947,79.809,21,1000,0.500411,0.516667,0.334571,9.34871,14.7226,0.769,
TT_10_0.25_17, 10, 2, 0.025,0.488,20.254,21,1000,0.468599,0.468917,0.451667,2.8116,2.8135,1,
TT_10_0.25_18, 10, 2, 0.065,0.992,31.008,21,1000,0.545936,0.549333,0.488333,1.63781,1.648,1,
TT_10_0.25_19, 10, 6, 0.032,0.599,26.136,21,1000,0.571538,0.575517,0.497,8.33215,8.921,1,
TT_10_0.25_20, 10, 6, 0.032,0.495,22.238,21,1000,0.498895,0.499,0.4835,6.31057,6.49,1,
TT_10_0.25_21, 10, 0, 0.051,0.57,1.36574e-311,21,1,0,0,1,0,0,1,
TT_10_0.25_22, 10, 0, 0.027,0.356,1.36574e-311,21,1,0,0,1,0,0,1,
TT_10_0.25_23, 10, 5, 0.03,0.455,21.887,21,1000,0.501001,0.501067,0.491,2.22509,3.8106,0.491,
TT_10_0.25_24, 10, 3, 0.031,0.498,23.929,21,1000,0.437635,0.437778,0.423167,7.87744,7.88,1,
TT_10_0.25_25, 10, 5, 0.035,0.561,28.43,21,1000,0.326403,0.412337,0.12,4.74318,7.6674,1,
TT_10_0.25_26, 10, 4, 0.033,0.664,41.503,21,1000,0.500057,0.500186,0.4844,2.95838,3.001,1,
TT_10_0.25_27, 10, 5, 0.084,1.042,35.167,21,1000,0.465775,0.468613,0.3775,3.50703,4.2746,0.755,
TT_10_0.25_28, 10, 2, 0.031,0.345,16.581,21,1000,0.499759,0.500125,0.481,1.99904,2.0005,1,
TT_10_0.25_29, 10, 5, 0.035,0.652,30.715,21,1000,0.499817,0.5,0.479,6.92891,7.6,1,
TT_10_0.25_30, 10, 0, 0.026,0.368,1.36573e-311,21,1,0,0,1,0,0,1,
TT_10_0.25_31, 10, 2, 0.028,0.435,20.062,21,1000,0.499975,0.5,0.495,2.49987,2.5,1,
TT_10_0.25_32, 10, 0, 0.032,0.478,1.36572e-311,21,1,0,0,1,0,0,1,
TT_10_0.25_33, 10, 0, 0.026,0.434,1.36572e-311,21,1,0,0,1,0,0,1,
TT_10_0.25_34, 10, 8, 0.034,0.679,27.409,21,1000,0.394029,0.480731,0.086,4.96453,7.15787,0.774,
TT_10_0.25_35, 10, 2, 0.025,0.421,22.511,21,1000,0.567214,0.567667,0.545,5.10493,5.109,1,
TT_10_0.25_36, 10, 6, 0.031,0.58,26.761,21,1000,0.497835,0.501333,0.417857,2.85697,3.224,1,
TT_10_0.25_37, 10, 4, 0.033,0.523,23.504,21,1000,0.440362,0.443737,0.376286,3.29537,3.35475,1,
TT_10_0.25_38, 10, 4, 0.037,0.462,22.372,21,1000,0.498173,0.49855,0.470429,4.16801,4.24,1,
TT_10_0.25_39, 10, 5, 0.035,0.654,25.042,21,1000,0.499823,0.5,0.483,6.62656,6.8,1,
TT_10_0.25_40, 10, 2, 0.026,0.394,17.72,21,1000,0.504047,0.504167,0.493167,3.02428,3.025,1,
TT_10_0.25_41, 10, 6, 0.035,0.619,28.673,21,1000,0.587025,0.611371,0.442875,4.67161,4.865,1,
TT_10_0.25_42, 10, 2, 0.033,0.51,28.345,21,1000,0.605728,0.60575,0.6006,6.05728,6.0575,1,
TT_10_0.25_43, 10, 4, 0.026,0.459,21.968,21,1000,0.429393,0.434444,0.359111,1.28818,1.91,0.498,
TT_10_0.25_44, 10, 4, 0.036,0.533,27.159,21,1000,0.423906,0.477253,0.232889,4.02152,4.64225,1,
TT_10_0.25_45, 10, 2, 0.034,0.41,19.808,21,1000,0.451186,0.451438,0.436375,3.60949,3.6115,1,
TT_10_0.25_46, 10, 4, 0.071,0.811,37.34,21,1000,0.64241,0.645303,0.5664,3.69965,3.9615,1,
TT_10_0.25_47, 10, 2, 0.023,0.366,17.377,21,1000,0.522366,0.523,0.49725,2.08946,2.092,1,
TT_10_0.25_48, 10, 6, 0.029,0.503,24.727,21,1000,0.551451,0.554736,0.48425,7.14762,7.20217,1,
TT_10_0.25_49, 10, 7, 0.04,0.577,22.427,21,1000,0.50676,0.509686,0.422,4.76304,5.36429,1,
TT_10_0.50_0, 10, 0, 0.049,1.071,1.36572e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_1, 10, 4, 0.063,0.955,50.913,21,1000,0.52379,0.529768,0.457707,17.9474,18.235,1,
TT_10_0.50_2, 10, 2, 0.03,0.549,20.604,21,1000,0.499744,0.5,0.484,3.99795,4,1,
TT_10_0.50_3, 10, 5, 0.034,0.549,24.477,21,1000,0.517146,0.52035,0.45775,1.79229,2.003,0.634,
TT_10_0.50_4, 10, 0, 0.029,0.357,1.36574e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_5, 10, 4, 0.034,0.615,35.045,21,1000,0.49998,0.500028,0.490667,13.4995,13.5008,1,
TT_10_0.50_6, 10, 2, 0.05,0.593,28.641,21,1000,0.399097,0.399444,0.382778,3.59187,3.595,1,
TT_10_0.50_7, 10, 0, 0.043,0.41,1.36572e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_8, 10, 2, 0.085,0.794,47.77,21,1000,0.858911,0.911813,0.60575,6.87129,7.2945,1,
TT_10_0.50_9, 10, 0, 0.057,0.805,1.36573e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_10, 10, 4, 0.053,1.015,35.737,21,1000,0.514351,0.541471,0.336111,11.749,16.6648,1,
TT_10_0.50_11, 10, 0, 0.024,0.42,1.36574e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_12, 10, 4, 0.038,0.533,20.811,21,1000,0.471262,0.47325,0.401,0.471262,0.47325,0.401,
TT_10_0.50_13, 10, 2, 0.094,0.746,50.716,21,1000,0.939011,1.1124,0.516,9.39011,11.124,1,
TT_10_0.50_14, 10, 2, 0.026,0.413,17.028,21,1000,0.499676,0.5,0.482,1.49903,1.5,1,
TT_10_0.50_15, 10, 2, 0.026,0.387,19.72,21,1000,0.549755,0.549812,0.541875,4.39804,4.3985,1,
TT_10_0.50_16, 10, 4, 0.036,0.7,35.427,21,1000,0.480202,0.501206,0.290143,3.81149,4.119,1,
TT_10_0.50_17, 10, 4, 0.059,0.558,29.751,21,1000,0.536379,0.537667,0.499,1.60914,2.837,0.499,
TT_10_0.50_18, 10, 0, 0.028,0.441,1.36572e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_19, 10, 0, 0.037,0.616,1.36572e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_20, 10, 2, 0.071,0.871,53.288,21,1000,0.56884,0.569312,0.546125,4.55072,4.5545,1,
TT_10_0.50_21, 10, 0, 0.035,0.516,1.36572e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_22, 10, 0, 0.026,0.487,1.36573e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_23, 10, 3, 0.034,0.669,26.96,21,1000,0.475194,0.475708,0.44525,7.60311,7.61133,1,
TT_10_0.50_24, 10, 2, 0.038,0.684,29.224,21,1000,0.594895,0.595,0.5838,5.94895,5.95,1,
TT_10_0.50_25, 10, 4, 0.09,0.926,40.962,21,1000,0.549972,0.636675,0.26,3.88889,5.335,1,
TT_10_0.50_26, 10, 4, 0.06,0.769,40.914,21,1000,0.541115,0.542177,0.485333,11.2469,15.8845,1,
TT_10_0.50_27, 10, 2, 0.065,1.235,37.234,21,1000,-nan(ind),-1.6835,-3.967,-nan(ind),-3.367,-7.934,
TT_10_0.50_28, 10, 5, 0.035,0.667,30.15,21,1000,0.499901,0.5,0.487,6.93008,7.6,1,
TT_10_0.50_29, 10, 5, 0.047,0.901,32.579,21,1000,0.508065,0.512178,0.429,2.47692,3.9812,0.633,
TT_10_0.50_30, 10, 4, 0.05,0.621,29.689,21,1000,0.324333,0.352939,0.1598,2.17569,2.49025,0.799,
TT_10_0.50_31, 10, 4, 0.081,0.934,37.751,21,1000,0.519653,0.535555,0.348,4.88982,9.49925,0.348,
TT_10_0.50_32, 10, 0, 0.041,0.659,1.36571e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_33, 10, 6, 0.045,0.588,25.857,21,1000,0.507037,0.50956,0.44525,2.65763,3.26833,0.988,
TT_10_0.50_34, 10, 4, 0.055,0.949,42.569,21,1000,0.753838,0.757563,0.66,2.06217,2.9905,0.83,
TT_10_0.50_35, 10, 4, 0.044,0.754,30.061,21,1000,0.500623,0.500975,0.4754,3.53994,3.755,1,
TT_10_0.50_36, 10, 3, 0.075,0.746,49.922,21,1000,0.541762,0.54215,0.5136,10.8352,10.843,1,
TT_10_0.50_37, 10, 2, 0.037,0.632,30.306,21,1000,0.515186,0.515312,0.503875,4.12148,4.1225,1,
TT_10_0.50_38, 10, 2, 0.067,0.723,36.619,21,1000,0.483369,0.484625,0.44975,1.93347,1.9385,1,
TT_10_0.50_39, 10, 0, 0.024,0.423,1.36574e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_40, 10, 3, 0.029,0.447,22.594,21,1000,0.533612,0.534574,0.509167,9.60502,9.62233,1,
TT_10_0.50_41, 10, 3, 0.032,0.493,24.423,21,1000,0.49964,0.5,0.4745,9.99281,10,1,
TT_10_0.50_42, 10, 7, 0.067,0.838,35.966,21,1000,0.537439,0.540573,0.459,2.84887,4.42971,0.459,
TT_10_0.50_43, 10, 3, 0.027,0.468,23.858,21,1000,0.552526,0.556854,0.488063,8.84042,8.90967,1,
TT_10_0.50_44, 10, 2, 0.042,0.663,39.205,21,1000,0.627164,0.6279,0.5975,6.27164,6.279,1,
TT_10_0.50_45, 10, 2, 0.03,0.404,21.987,21,1000,0.475412,0.4755,0.466333,2.85247,2.853,1,
TT_10_0.50_46, 10, 0, 0.028,0.455,1.36573e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_47, 10, 0, 0.032,0.567,1.36571e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_48, 10, 3, 0.03,0.513,21.234,21,1000,0.591403,0.594848,0.5305,8.88242,9.66667,1,
TT_10_0.50_49, 10, 4, 0.089,1.183,63.891,21,1000,0.591078,0.591997,0.5528,12.9499,13.3878,1,
TT_15_0.05_0, 15, 9, 0.058,1.875,44.399,31,1000,0.499952,0.5,0.488667,7.14577,8.44444,1,
TT_15_0.05_1, 15, 11, 0.033,1.134,30.532,31,1000,0.540608,0.545455,0.4725,2.36515,3.36364,0.653,
TT_15_0.05_2, 15, 9, 0.062,1.881,48.947,31,1000,0.524082,0.525885,0.477222,5.04861,5.55756,1,
TT_15_0.05_3, 15, 11, 0.066,1.431,40.13,31,1000,0.497843,0.50493,0.297,3.85234,5.54545,0.297,
TT_15_0.05_4, 15, 11, 0.053,1.804,38.319,31,1000,0.50146,0.501739,0.469,3.64014,3.74773,1,
TT_15_0.05_5, 15, 13, 0.085,1.962,52.803,31,1000,0.500225,0.50047,0.47,4.22537,6.60862,0.499,
TT_15_0.05_6, 15, 14, 0.034,0.911,25.977,31,1000,0.45914,0.467551,0.22,2.44724,3.07143,0.22,
TT_15_0.05_7, 15, 10, 0.045,1.593,37.865,31,1000,0.490894,0.492233,0.414556,3.20325,4.8989,0.484,
TT_15_0.05_8, 15, 12, 0.114,1.847,43.432,31,1000,0.468114,0.472628,0.298,4.61063,5.2815,0.894,
