Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.25_21, 10, 0, 0.049,0.659,9.29941e-312,21,1,0,0,1,0,0,1,
TT_10_0.25_22, 10, 0, 0.024,0.427,9.29938e-312,21,1,0,0,1,0,0,1,
TT_10_0.25_23, 10, 5, 0.032,0.592,0.128,21,4,0.499982,0.5,0.493333,2.22056,3.8,0.493333,
TT_10_0.25_24, 10, 3, 0.03,0.545,0.119,21,3,0.499999,0.5,0.498462,8.99998,9,1,
TT_10_0.25_25, 10, 5, 0.041,0.674,0.13,21,4,0.499996,0.5,0.497333,7.26577,7.8,1,
TT_10_0.25_26, 10, 4, 0.033,0.668,0.137,21,3,0.5,0.5,0.499429,2.95804,3,1,
TT_10_0.25_27, 10, 5, 0.087,1.079,0.163,21,3,0.491861,0.503636,0.366667,3.70344,4.2,1,
TT_10_0.25_28, 10, 2, 0.029,0.376,0.15,21,2,0.5,0.5,0.5,2,2,1,
TT_10_0.25_29, 10, 5, 0.047,0.732,0.126,21,4,0.499999,0.5,0.499067,6.93144,7.6,1,
TT_10_0.25_30, 10, 0, 0.032,0.399,9.29943e-312,21,1,0,0,1,0,0,1,
TT_10_0.25_31, 10, 2, 0.032,0.451,0.174,21,2,0.499997,0.5,0.498333,2.49999,2.5,1,
TT_10_0.25_32, 10, 0, 0.037,0.529,9.29938e-312,21,1,0,0,1,0,0,1,
TT_10_0.25_33, 10, 0, 0.028,0.442,9.29933e-312,21,1,0,0,1,0,0,1,
TT_10_0.25_34, 10, 8, 0.041,0.779,0.064,21,2,0.545254,0.5625,0.499815,6.86988,7.25,1,
TT_10_0.25_35, 10, 2, 0.027,0.453,0.155,21,2,0.5,0.5,0.5,4.5,4.5,1,
TT_10_0.25_36, 10, 6, 0.031,0.682,0.14,21,3,0.499998,0.5,0.49875,2.86939,3.16667,1,
TT_10_0.25_37, 10, 4, 0.032,0.535,0.13,21,3,0.499999,0.5,0.49898,3.74165,3.75,1,
TT_10_0.25_38, 10, 4, 0.035,0.557,0.135,21,2,0.5,0.5,0.499714,4.1833,4.25,1,
TT_10_0.25_39, 10, 5, 0.038,0.65,0.172,21,4,0.499998,0.5,0.498667,6.62889,6.8,1,
TT_10_0.25_40, 10, 2, 0.026,0.47,0.101,21,2,0.499997,0.5,0.498333,2.99998,3,1,
TT_10_0.25_41, 10, 6, 0.042,0.701,0.078,21,4,0.499999,0.5,0.498571,3.97905,4,1,
TT_10_0.25_42, 10, 2, 0.039,0.576,0.116,21,2,0.499997,0.5,0.498333,4.99997,5,1,
TT_10_0.25_43, 10, 4, 0.028,0.491,0.144,21,3,0.499999,0.5,0.498413,1.5,2.5,0.5,
TT_10_0.25_44, 10, 4, 0.041,0.672,0.165,21,3,0.5,0.5,0.499365,4.74341,4.75,1,
TT_10_0.25_45, 10, 2, 0.029,0.466,0.11,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.25_46, 10, 4, 0.072,1.006,0.254,21,3,0.607666,0.649371,0.316558,3.49956,3.5,1,
TT_10_0.25_47, 10, 2, 0.03,0.395,0.156,21,2,0.5,0.5,0.5,2,2,1,
TT_10_0.25_48, 10, 6, 0.029,0.532,0.053,21,5,0.499999,0.5,0.497946,6.48073,6.5,1,
TT_10_0.25_49, 10, 7, 0.038,0.56,0.06,21,3,0.548833,0.578662,0.399137,5.15849,5.28571,1,
TT_10_0.50_0, 10, 0, 0.058,1.176,9.2993e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_1, 10, 4, 0.064,1.076,0.185,21,4,0.518026,0.546131,0.433484,17.75,17.75,1,
TT_10_0.50_2, 10, 2, 0.034,0.667,0.138,21,2,0.5,0.5,0.5,4,4,1,
