Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.25_4, 10, 4, 0.034,0.592,45.529,21,1000,0,0.5,0,0,4,0,
TT_10_0.25_5, 10, 4, 0.045,0.586,48.881,21,1000,0,0.5,0,0,4,0,
TT_10_0.25_6, 10, 4, 0.042,0.735,55.659,21,1000,0,0.5,0,0,4,0,
TT_10_0.25_7, 10, 5, 0.011,0.379,14.098,21,1000,0,0.6,0,0,1,0,
TT_10_0.25_8, 10, 3, 0.057,1.154,63.598,21,1000,0,0.5,0,0,8,0,
TT_10_0.25_9, 10, 2, 0.029,0.561,44.5,21,1000,2.54437e-07,0.5,6.47383e-14,2.28994e-06,4.5,5.82645e-13,
TT_10_0.25_10, 10, 7, 0.041,0.606,52.781,21,1000,0,0.5,0,0,4.42857,0,
TT_10_0.25_11, 10, 3, 0.022,0.429,35.409,21,1000,0,0.666667,0,0,0.666667,0,
TT_10_0.25_12, 10, 4, 0.086,0.963,95.217,21,1000,0,0.5,0,0,1.25,0,
TT_10_0.25_13, 10, 7, 0.044,0.845,45.871,21,1000,0,0.5,0,0,6.28571,0,
TT_10_0.25_14, 10, 7, 0.05,0.744,57.82,21,1000,0,0.428571,0,0,3.28571,0,
TT_10_0.25_15, 10, 4, 0.024,0.47,36.49,21,1000,0.00017148,0.5,3.89107e-15,0.00360108,10.5,8.17124e-14,
TT_10_0.25_16, 10, 9, 0.093,1.947,117.537,21,1000,0.0179021,0.605617,2.2915e-14,0.334449,14.7778,9.166e-13,
TT_10_0.25_17, 10, 2, 0.025,0.488,37.666,21,1000,0,0.5,0,0,3,0,
TT_10_0.25_18, 10, 2, 0.065,0.992,71.062,21,1000,0,0.5,0,0,1.5,0,
TT_10_0.25_19, 10, 6, 0.032,0.599,44.162,21,1000,0,0.516667,0,0,8,0,
TT_10_0.25_20, 10, 6, 0.032,0.495,37.574,21,1000,1.88902e-05,0.5,1.06581e-14,0.000238945,6.5,1.7053e-13,
TT_10_0.25_21, 10, 0, 0.051,0.57,1.36574e-311,21,1,0,0,1,0,0,1,
TT_10_0.25_22, 10, 0, 0.027,0.356,1.36574e-311,21,1,0,0,1,0,0,1,
TT_10_0.25_23, 10, 5, 0.03,0.455,33.552,21,1000,0,0.5,0,0,3.8,0,
TT_10_0.25_24, 10, 3, 0.031,0.498,41.199,21,1000,2.30441e-05,0.5,2.44742e-14,0.000414794,9,4.40536e-13,
TT_10_0.25_25, 10, 5, 0.035,0.561,46.864,21,1000,0,0.5,0,0,7.8,0,
TT_10_0.25_26, 10, 4, 0.033,0.664,41.494,21,1000,0,0.5,0,0,3,0,
TT_10_0.25_27, 10, 5, 0.084,1.042,86.44,21,1000,0,0.4,0,0,4.2,0,
TT_10_0.25_28, 10, 2, 0.031,0.345,29.877,21,1000,0,0.5,0,0,2,0,
TT_10_0.25_29, 10, 5, 0.035,0.652,50.776,21,1000,0,0.5,0,0,7.6,0,
TT_10_0.25_30, 10, 0, 0.026,0.368,1.36573e-311,21,1,0,0,1,0,0,1,
TT_10_0.25_31, 10, 2, 0.028,0.435,36.281,21,1000,0,0.5,0,0,2.5,0,
TT_10_0.25_32, 10, 0, 0.032,0.478,1.36572e-311,21,1,0,0,1,0,0,1,
TT_10_0.25_33, 10, 0, 0.026,0.434,1.36572e-311,21,1,0,0,1,0,0,1,
TT_10_0.25_34, 10, 8, 0.034,0.679,46.285,21,1000,0,0.5625,0,0,7.25,0,
TT_10_0.25_35, 10, 2, 0.025,0.421,31.577,21,1000,0,0.5,0,0,4.5,0,
TT_10_0.25_36, 10, 6, 0.031,0.58,38.645,21,1000,0,0.5,0,0,3.16667,0,
TT_10_0.25_37, 10, 4, 0.033,0.523,39.665,21,1000,0,0.5,0,0,3.75,0,
TT_10_0.25_38, 10, 4, 0.037,0.462,40.646,21,1000,1.6737e-07,0.5,1.7256e-14,1.40032e-06,4.25,1.20792e-13,
TT_10_0.25_39, 10, 5, 0.035,0.654,42.273,21,1000,0,0.5,0,0,6.8,0,
TT_10_0.25_40, 10, 2, 0.026,0.394,32.996,21,1000,0,0.5,0,0,3,0,
TT_10_0.25_41, 10, 6, 0.035,0.619,49.106,21,1000,0,0.5,0,0,4,0,
TT_10_0.25_42, 10, 2, 0.033,0.51,43.631,21,1000,2.4138e-07,0.5,5.82645e-14,2.4138e-06,5,5.82645e-13,
TT_10_0.25_43, 10, 4, 0.026,0.459,35.518,21,1000,0,0.5,0,0,2.5,0,
TT_10_0.25_44, 10, 4, 0.036,0.533,43.507,21,1000,0,0.5,0,0,4.75,0,
TT_10_0.25_45, 10, 2, 0.034,0.41,34.321,21,1000,0,0.5,0,0,4,0,
TT_10_0.25_46, 10, 4, 0.071,0.811,74.006,21,1000,0,0.4,0,0,3.5,0,
TT_10_0.25_47, 10, 2, 0.023,0.366,31.772,21,1000,0,0.5,0,0,2,0,
TT_10_0.25_48, 10, 6, 0.029,0.503,36.653,21,1000,2.14488e-05,0.5,1.42109e-14,0.000278008,6.5,1.7053e-13,
TT_10_0.25_49, 10, 7, 0.04,0.577,46.133,21,1000,0,0.47619,0,0,5.28571,0,
TT_10_0.50_0, 10, 0, 0.049,1.071,1.36572e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_1, 10, 4, 0.063,0.955,80.917,21,1000,0.000255615,0.560976,1.75036e-14,0.00875853,17.75,7.17648e-13,
TT_10_0.50_2, 10, 2, 0.03,0.549,40.592,21,1000,0,0.5,0,0,4,0,
TT_10_0.50_3, 10, 5, 0.034,0.549,35.862,21,1000,0,0.6,0,0,2,0,
TT_10_0.50_4, 10, 0, 0.029,0.357,1.36574e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_5, 10, 4, 0.034,0.615,53.148,21,1000,0.000237057,0.5,1.42109e-14,0.00640053,13.5,3.83693e-13,
TT_10_0.50_6, 10, 2, 0.05,0.593,64.343,21,1000,0,0.5,0,0,4.5,0,
TT_10_0.50_7, 10, 0, 0.043,0.41,1.36572e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_8, 10, 2, 0.085,0.794,88.649,21,1000,1.50494e-07,0.5,2.26485e-14,1.20395e-06,4,1.81188e-13,
TT_10_0.50_9, 10, 0, 0.057,0.805,1.36573e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_10, 10, 4, 0.053,1.015,71.085,21,1000,0,0.295455,0,0,16.25,0,
TT_10_0.50_11, 10, 0, 0.024,0.42,1.36574e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_12, 10, 4, 0.038,0.533,47.755,21,1000,0,0.5,0,0,0.5,0,
TT_10_0.50_13, 10, 2, 0.094,0.746,103.114,21,1000,0,0.5,0,0,5,0,
TT_10_0.50_14, 10, 2, 0.026,0.413,31.541,21,1000,2.83775e-07,0.5,8.05282e-14,8.51325e-07,1.5,2.41585e-13,
TT_10_0.50_15, 10, 2, 0.026,0.387,32.385,21,1000,0,0.5,0,0,4,0,
TT_10_0.50_16, 10, 4, 0.036,0.7,44.744,21,1000,0,0.5,0,0,4,0,
TT_10_0.50_17, 10, 4, 0.059,0.558,63.75,21,1000,0,0.5,0,0,2.5,0,
TT_10_0.50_18, 10, 0, 0.028,0.441,1.36572e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_19, 10, 0, 0.037,0.616,1.36572e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_20, 10, 2, 0.071,0.871,73.684,21,1000,0,0.5,0,0,4,0,
TT_10_0.50_21, 10, 0, 0.035,0.516,1.36572e-311,21,1,0,0,1,0,0,1,
