Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.25_3, 10, 4, 0.056,0.777,0.268,21,2,0.5,0.5,0.5,2,2.5,1,
TT_10_0.25_4, 10, 4, 0.037,0.665,0.186,21,2,0.5,0.5,0.5,3.87298,4,1,
TT_10_0.25_5, 10, 4, 0.039,0.752,0.229,21,2,0.5,0.5,0.5,3.87298,4,1,
TT_10_0.25_6, 10, 4, 0.053,0.804,0.246,21,2,0.5,0.5,0.5,3.96863,4,1,
TT_10_0.25_7, 10, 5, 0.012,0.426,0.224,21,4,0.5578,0.56,0.5,0.971187,1,0.6,
TT_10_0.25_8, 10, 3, 0.059,1.383,0.235,21,2,0.5,0.5,0.5,8,8,1,
TT_10_0.25_9, 10, 2, 0.038,0.635,0.121,21,2,0.5,0.5,0.5,4.5,4.5,1,
TT_10_0.25_10, 10, 7, 0.047,0.799,0.267,21,5,0.5,0.5,0.5,2.90274,4.42857,0.5,
TT_10_0.25_11, 10, 3, 0.026,0.524,0.131,21,3,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,
TT_10_0.25_12, 10, 4, 0.093,1.137,0.395,21,2,0.5,0.5,0.5,1,1.25,0.5,
TT_10_0.25_13, 10, 7, 0.034,0.669,0.333,21,4,0.5,0.5,0.5,5.80918,6.28571,1,
TT_10_0.25_14, 10, 7, 0.051,0.851,0.38,21,2,0.5,0.5,0.5,2.28788,3.28571,0.5,
TT_10_0.25_15, 10, 4, 0.033,0.642,0.136,21,4,0.5,0.5,0.5,10.5,10.5,1,
TT_10_0.25_16, 10, 9, 0.13,2.239,1.853,21,5,0.543326,0.556277,0.5,10.1505,14.7778,0.954545,
TT_10_0.25_17, 10, 2, 0.034,0.525,0.109,21,2,0.5,0.5,0.5,3,3,1,
TT_10_0.25_18, 10, 2, 0.072,1.076,0.292,21,2,0.5,0.5,0.5,1.5,1.5,1,
TT_10_0.25_19, 10, 6, 0.033,0.689,0.223,21,5,0.518351,0.518519,0.5,7.55677,8,1,
TT_10_0.25_20, 10, 6, 0.032,0.625,0.296,21,5,0.5,0.5,0.5,6.32456,6.5,1,
TT_10_0.25_21, 10, 0, 0.049,0.659,9.29941e-312,21,1,0,0,1,0,0,1,
TT_10_0.25_22, 10, 0, 0.024,0.427,9.29938e-312,21,1,0,0,1,0,0,1,
TT_10_0.25_23, 10, 5, 0.032,0.592,0.133,21,4,0.5,0.5,0.5,2.22064,3.8,0.5,
TT_10_0.25_24, 10, 3, 0.03,0.545,0.143,21,3,0.5,0.5,0.5,9,9,1,
TT_10_0.25_25, 10, 5, 0.041,0.674,0.275,21,4,0.5,0.5,0.5,7.26583,7.8,1,
TT_10_0.25_26, 10, 4, 0.033,0.668,0.278,21,2,0.5,0.5,0.5,2.95804,3,1,
TT_10_0.25_27, 10, 5, 0.087,1.079,0.37,21,4,0.474566,0.475,0.458333,3.57322,4.2,0.916667,
TT_10_0.25_28, 10, 2, 0.029,0.376,0.083,21,2,0.5,0.5,0.5,2,2,1,
TT_10_0.25_29, 10, 5, 0.047,0.732,0.242,21,4,0.5,0.5,0.5,6.93145,7.6,1,
TT_10_0.25_30, 10, 0, 0.032,0.399,9.29943e-312,21,1,0,0,1,0,0,1,
TT_10_0.25_31, 10, 2, 0.032,0.451,0.126,21,2,0.5,0.5,0.5,2.5,2.5,1,
TT_10_0.25_32, 10, 0, 0.037,0.529,9.29938e-312,21,1,0,0,1,0,0,1,
TT_10_0.25_33, 10, 0, 0.028,0.442,9.29933e-312,21,1,0,0,1,0,0,1,
TT_10_0.25_34, 10, 8, 0.041,0.779,0.332,21,4,0.527164,0.528409,0.5,6.64196,7.25,1,
TT_10_0.25_35, 10, 2, 0.027,0.453,0.08,21,2,0.5,0.5,0.5,4.5,4.5,1,
TT_10_0.25_36, 10, 6, 0.031,0.682,0.243,21,2,0.5,0.5,0.5,2.8694,3.16667,1,
TT_10_0.25_37, 10, 4, 0.032,0.535,0.172,21,2,0.5,0.5,0.5,3.74166,3.75,1,
TT_10_0.25_38, 10, 4, 0.035,0.557,0.185,21,2,0.5,0.5,0.5,4.1833,4.25,1,
TT_10_0.25_39, 10, 5, 0.038,0.65,0.304,21,2,0.5,0.5,0.5,6.62891,6.8,1,
TT_10_0.25_40, 10, 2, 0.026,0.47,0.097,21,2,0.5,0.5,0.5,3,3,1,
TT_10_0.25_41, 10, 6, 0.042,0.701,0.353,21,2,0.5,0.5,0.5,3.97906,4,1,
TT_10_0.25_42, 10, 2, 0.039,0.576,0.15,21,2,0.5,0.5,0.5,5,5,1,
TT_10_0.25_43, 10, 4, 0.028,0.491,0.146,21,2,0.5,0.5,0.5,1.5,2.5,0.5,
TT_10_0.25_44, 10, 4, 0.041,0.672,0.2,21,2,0.5,0.5,0.5,4.74342,4.75,1,
TT_10_0.25_45, 10, 2, 0.029,0.466,0.083,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.25_46, 10, 4, 0.072,1.006,0.561,21,3,0.57735,0.583333,0.5,3.32497,3.5,1,
TT_10_0.25_47, 10, 2, 0.03,0.395,0.085,21,2,0.5,0.5,0.5,2,2,1,
TT_10_0.25_48, 10, 6, 0.029,0.532,0.238,21,4,0.5,0.5,0.5,6.48074,6.5,1,
TT_10_0.25_49, 10, 7, 0.038,0.56,0.293,21,6,0.506721,0.506739,0.5,4.76267,5.28571,1,
TT_10_0.50_0, 10, 0, 0.058,1.176,9.2993e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_1, 10, 4, 0.064,1.076,0.381,21,4,0.496503,0.496503,0.496503,17.0125,17.75,1,
TT_10_0.50_2, 10, 2, 0.034,0.667,0.116,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.50_3, 10, 5, 0.036,0.675,0.322,21,2,0.5,0.5,0.5,1.73286,2,0.5,
TT_10_0.50_4, 10, 0, 0.057,0.492,9.29933e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_5, 10, 4, 0.043,0.866,0.222,21,2,0.5,0.5,0.5,13.5,13.5,1,
TT_10_0.50_6, 10, 2, 0.063,0.845,0.168,21,2,0.5,0.5,0.5,4.5,4.5,1,
TT_10_0.50_7, 10, 0, 0.099,0.517,9.29936e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_8, 10, 2, 0.105,0.952,0.272,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.50_9, 10, 0, 0.071,0.8,9.29928e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_10, 10, 4, 0.067,1.209,0.353,21,4,0.503876,0.503876,0.503876,11.5097,16.25,1,
TT_10_0.50_11, 10, 0, 0.024,0.489,9.29944e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_12, 10, 4, 0.044,0.683,0.188,21,2,0.5,0.5,0.5,0.5,0.5,0.5,
TT_10_0.50_13, 10, 2, 0.1,0.814,0.341,21,2,0.5,0.5,0.5,5,5,1,
TT_10_0.50_14, 10, 2, 0.027,0.535,0.1,21,2,0.5,0.5,0.5,1.5,1.5,1,
TT_10_0.50_15, 10, 2, 0.026,0.477,0.091,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.50_16, 10, 4, 0.036,0.935,0.385,21,2,0.5,0.5,0.5,3.96863,4,1,
TT_10_0.50_17, 10, 4, 0.068,0.787,0.22,21,2,0.5,0.5,0.5,1.5,2.5,0.5,
TT_10_0.50_18, 10, 0, 0.034,0.713,9.29928e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_19, 10, 0, 0.059,0.796,9.29932e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_20, 10, 2, 0.076,1.007,0.252,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.50_21, 10, 0, 0.036,0.554,9.29934e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_22, 10, 0, 0.028,0.649,9.29948e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_23, 10, 3, 0.042,0.643,0.196,21,2,0.5,0.5,0.5,8,8,1,
TT_10_0.50_24, 10, 2, 0.043,0.718,0.191,21,2,0.5,0.5,0.5,5,5,1,
TT_10_0.50_25, 10, 4, 0.11,1.178,0.39,21,2,0.5,0.5,0.5,3.53553,3.75,1,
TT_10_0.50_26, 10, 4, 0.071,0.939,0.329,21,2,0.5,0.5,0.5,10.3923,14.25,1,
TT_10_0.50_27, 10, 2, 0.073,1.532,0.219,21,2,0.6,0.6,0.6,1.2,1.2,1,
TT_10_0.50_28, 10, 5, 0.04,0.875,0.378,21,4,0.5,0.5,0.5,6.93145,7.6,1,
TT_10_0.50_29, 10, 5, 0.058,1.014,0.428,21,2,0.5,0.5,0.5,2.4376,4.2,0.5,
TT_10_0.50_30, 10, 4, 0.052,0.748,0.284,21,2,0.5,0.5,0.5,3.3541,3.5,1,
TT_10_0.50_31, 10, 4, 0.079,1.208,0.368,21,4,0.581059,0.581059,0.581059,5.46764,9.73274,0.581059,
TT_10_0.50_32, 10, 0, 0.042,0.714,9.29929e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_33, 10, 6, 0.044,0.83,0.247,21,2,0.5,0.5,0.5,2.62074,3.16667,1,
TT_10_0.50_34, 10, 4, 0.06,1.22,0.643,21,3,0.612372,0.625,0.5,1.67518,2.25,0.75,
TT_10_0.50_35, 10, 4, 0.052,0.845,0.317,21,2,0.5,0.5,0.5,3.53553,3.75,1,
TT_10_0.50_36, 10, 3, 0.122,1.111,0.415,21,2,0.5,0.5,0.5,10,10,1,
TT_10_0.50_37, 10, 2, 0.04,0.994,0.318,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.50_38, 10, 2, 0.078,1.042,0.147,21,2,0.5,0.5,0.5,2,2,1,
TT_10_0.50_39, 10, 0, 0.023,0.464,9.29943e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_40, 10, 3, 0.028,0.516,0.122,21,2,0.5,0.5,0.5,9,9,1,
TT_10_0.50_41, 10, 3, 0.033,0.552,0.152,21,3,0.5,0.5,0.5,10,10,1,
TT_10_0.50_42, 10, 7, 0.074,0.995,0.498,21,5,0.536067,0.537815,0.5,2.8416,4.42857,0.5,
TT_10_0.50_43, 10, 3, 0.029,0.59,0.149,21,3,0.5,0.5,0.5,8,8,1,
TT_10_0.50_44, 10, 2, 0.049,0.793,0.193,21,2,0.5,0.5,0.5,5,5,1,
TT_10_0.50_45, 10, 2, 0.031,0.488,0.113,21,2,0.5,0.5,0.5,3,3,1,
TT_10_0.50_46, 10, 0, 0.031,0.631,9.29931e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_47, 10, 0, 0.03,0.691,9.29947e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_48, 10, 3, 0.029,0.635,0.131,21,3,0.568627,0.568627,0.568627,8.54035,9.66667,1,
TT_10_0.50_49, 10, 4, 0.131,1.504,0.283,21,4,0.586957,0.586957,0.586957,12.8596,13.5,1,
TT_15_0.05_0, 15, 9, 0.068,2.13,0.795,31,7,0.5,0.5,0.5,7.14646,8.44444,1,
