Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_25_0.50_29, 25, 11, 4.683,536.145,2921.01,51,1000,0.461133,0.487129,0.270423,9.92264,15.8295,1,
TT_25_0.50_30, 25, 14, 0.317,16.969,845.924,51,1000,0.472615,0.489462,0.2155,7.34924,10.0004,1,
TT_25_0.50_31, 25, 14, 0.62,16.503,958.152,51,1000,0.545731,0.580826,0.26,4.60566,8.64314,0.767,
TT_25_0.50_32, 25, 8, 0.154,6.793,476.753,51,1000,0.439696,0.500053,0.11,3.99729,7.251,0.11,
TT_25_0.50_33, 25, 7, 0.16,10.472,498.302,51,1000,0.474706,0.500118,0.267125,18.9882,20.0047,1,
TT_25_0.50_34, 25, 16, 1.114,19.511,1015.68,51,1000,0.456534,0.465774,0.315125,4.81848,11.5689,0.474,
