Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_25_0.50_29, 25, 11, 4.683,536.145,37316.7,51,1000,0.482554,0.490563,0.356856,10.3836,15.8182,1,
TT_25_0.50_30, 25, 14, 0.317,16.969,2886.43,51,1000,0.502651,0.505981,0.426682,7.81631,10,1,
TT_25_0.50_31, 25, 14, 0.62,16.503,1781.65,51,1000,0.587461,0.626857,0.214695,4.95784,8.64286,0.895,
TT_25_0.50_32, 25, 8, 0.154,6.793,1090.98,51,1000,0.4999,0.5,0.487,4.54461,7.25,0.499,
TT_25_0.50_33, 25, 7, 0.16,10.472,1193.28,51,1000,0.499688,0.5,0.469,19.9875,20,1,
TT_25_0.50_34, 25, 16, 1.114,19.511,2382.16,51,1000,0.519276,0.559478,0.258,5.48069,11.5625,0.258,
