Name, n, |M|, distribution
20-instance-20, 20, 9, 1,0.345,0,0.378,0.162,1,0,1,0,0.139,0,1,0.156,0.13,0.373,0,1,0,0.165,0.152,
20-instance-21, 20, 11, 0.549,0.917,0.22,0.337,0.595,0.588,0.325,0.566,0.319,1,1,0.34,0,1,1,1,0,1,0.244,1,
20-instance-22, 20, 4, 1,0.752,1,1,0,1,1,0,1,1,1,0,1,1,0.77,0,1,0.734,0.744,1,
20-instance-23, 20, 5, 0,0.188,1,1,0,1,0.205,0,0,0.201,1,0,0,0.217,0,0,0.189,0,0,0,
20-instance-24, 20, 10, 0,0.339,0,1,0,0.158,0,0,0.328,0.147,0.134,0.138,0,0.132,1,0.145,0.146,0,0.333,0,
20-instance-25, 20, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20-instance-26, 20, 10, 0.459,1,0.337,0.511,0.489,1,0.342,1,0.327,1,0.344,1,1,0.334,0.424,0.433,1,1,0,1,
20-instance-27, 20, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20-instance-28, 20, 11, 0.149,1,0.151,0.145,0,0,0.134,0.09,0.131,1,0.71,0.641,0,0,0.097,1,0.103,0.649,0,0,
20-instance-29, 20, 6, 0.396,0.408,0.384,1,0.283,0,1,0.252,0.277,1,1,1,1,1,1,1,1,1,1,1,
20-instance-30, 20, 8, 1,0,1,1,0.19,0.209,1,0,1,1,0.188,0.344,1,0.323,0.204,0,1,0.209,1,0.333,
20-instance-31, 20, 5, 0.666,0,0,0,0.682,0.507,0,0,0,1,0.493,1,1,1,1,0,0,0.652,1,0,
20-instance-32, 20, 10, 0.607,0.212,0.208,0,1,1,0.771,1,1,0.576,0,0.192,0.622,0,0.201,0.187,0.424,0,1,1,
20-instance-33, 20, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20-instance-34, 20, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20-instance-35, 20, 8, 0,0.403,0.376,0.375,0,1,0,1,1,0.357,0.383,1,0.358,0,1,0.365,0,0,0.383,1,
