Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_25_0.05_40, 25, 21, 0.646,15.053,2697.53,51,1000,0.514272,0.516119,0.467,3.71233,4.85714,0.677,
TT_25_0.05_41, 25, 21, 0.143,9.071,2356.92,51,1000,0.499863,0.5,0.48325,7.08282,9.80952,0.968,
TT_25_0.05_42, 25, 21, 0.115,7.708,2000.91,51,1000,0.499891,0.5,0.478,4.16674,4.61905,0.992,
TT_25_0.05_43, 25, 22, 0.147,10.12,2374.21,51,1000,0.499204,0.500123,0.438,5.71387,6.18182,1,
TT_25_0.05_44, 25, 21, 0.748,16.09,2821.81,51,1000,0.499813,0.5,0.477,6.65081,7.38095,1,
TT_25_0.05_45, 25, 19, 0.122,7.458,1662.65,51,1000,0.499822,0.5,0.472333,4.98126,6.10526,0.488,
TT_25_0.05_46, 25, 18, 0.256,8.076,1547.62,51,1000,0.510513,0.515022,0.428,3.97032,4.83333,0.596,
TT_25_0.05_47, 25, 21, 0.164,10.061,2526.31,51,1000,0.499929,0.5,0.484,5.94616,8.7619,0.497,
TT_25_0.05_48, 25, 18, 0.159,13.129,2212.85,51,1000,0.516377,0.518111,0.474,5.57572,8.22222,1,
TT_25_0.05_49, 25, 19, 0.116,7.266,1953.79,51,1000,0.499906,0.5,0.481,5.22098,6.36842,1,
TT_25_0.25_0, 25, 17, 0.161,10.391,2357.24,51,1000,0.499841,0.5,0.479,6.40637,8.94118,0.988,
TT_25_0.25_1, 25, 16, 0.253,11.205,2718.49,51,1000,0.499773,0.5,0.47,7.79737,13.25,0.488,
TT_25_0.25_2, 25, 13, 0.216,16.31,2188.04,51,1000,0.499918,0.5,0.485,7.62063,12.1538,0.485,
TT_25_0.25_3, 25, 19, 0.218,23.148,3370.81,51,1000,0.540923,0.548345,0.467,5.16436,7.84211,0.467,
TT_25_0.25_4, 25, 14, 0.266,8.999,2065.68,51,1000,0.499714,0.5,0.463,7.52304,8.64286,1,
TT_25_0.25_5, 25, 18, 0.243,7.926,1936.22,51,1000,0.518386,0.520422,0.484,4.4848,6.05556,0.992,
TT_25_0.25_6, 25, 17, 0.82,15.781,2688.47,51,1000,0.504631,0.506353,0.448,5.88353,6.76471,1,
TT_25_0.25_7, 25, 19, 0.767,13.085,2257.37,51,1000,0.502203,0.509094,0.311,3.53994,5.73684,0.487,
TT_25_0.25_8, 25, 8, 0.109,5.377,901.043,51,1000,0.499861,0.5,0.479667,6.29795,8.875,1,
TT_25_0.25_9, 25, 21, 0.193,13.981,2742.89,51,1000,0.553452,0.572846,0.317973,7.16088,7.95238,1,
TT_25_0.25_10, 25, 18, 0.349,19.784,2747.66,51,1000,0.499861,0.5,0.478,3.44713,6.22222,0.482,
TT_25_0.25_11, 25, 15, 0.123,5.532,1466.52,51,1000,0.487237,0.489206,0.349,6.53395,8.2,0.349,
TT_25_0.25_12, 25, 14, 0.386,18.854,2865.08,51,1000,0.563121,0.572685,0.483333,5.15815,6.64286,0.773,
TT_25_0.25_13, 25, 17, 0.17,10.791,2743.43,51,1000,0.499866,0.5,0.482,5.85596,7.88235,0.495,
TT_25_0.25_14, 25, 11, 0.67,36.294,2025.39,51,1000,0.499779,0.5,0.475,3.94754,5.54545,0.475,
TT_25_0.25_15, 25, 12, 0.928,23.237,2292.94,51,1000,0.471309,0.474476,0.339,6.2233,7.33333,1,
TT_25_0.25_16, 25, 17, 0.438,42.386,4935.51,51,1000,0.518134,0.520147,0.4865,3.99889,4.94118,1,
TT_25_0.25_17, 25, 17, 1.415,43.605,6434.83,51,1000,0.517434,0.519176,0.484667,6.19489,8.88235,0.652,
