Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt40-0, 40, 0, 302.525,2574.95,0,41,1,0,0,1,
wt40-1, 40, 10, 119.258,1706.93,3415.52,37,10,0.5954,0.67,0.2,
wt40-2, 40, 2, 201.626,1425.93,658.888,40,2,0.5,0.5,0.5,
wt40-3, 40, 6, 145.842,2500.93,1891.48,39,10,0.476871,0.5,0.3,
wt40-4, 40, 4, 61.532,901.437,2395.81,38,24,0.484123,0.5,0.375,
wt40-5, 40, 0, 216.339,6289.11,0,41,1,0,0,1,
wt40-6, 40, 0, 1049.6,4985.3,0,41,1,0,0,1,
