Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt40-0, 40, 0, 302.525,2574.95,0,41,1,0,0,1,
wt40-1, 40, 10, 119.258,1706.93,1306.27,37,11,0.543487,0.645455,0.0909091,
wt40-2, 40, 2, 201.626,1425.93,1992.45,40,11,0.385695,0.5,0.181818,
wt40-3, 40, 6, 145.842,2500.93,1896.17,39,11,0.479395,0.5,0.363636,
wt40-4, 40, 4, 61.532,901.437,2213.89,38,11,0.489415,0.5,0.363636,
wt40-5, 40, 0, 216.339,6289.11,0,41,1,0,0,1,
wt40-6, 40, 0, 1049.6,4985.3,0,41,1,0,0,1,
