Name, n, |M|, distribution
TT_20_0.25_1, 20, 15, -56.041,-53.032,-1.999,-46.048,-30.452,-39.533,0,-9.015,-99.19,0,-52.92,-1.792,0,-81.33,-3.208,-74.959,-91.48,-10.81,-0.189,0,
TT_20_0.25_2, 20, 9, -38.432,-41.393,-42.425,-65.942,0,0,0,-4.996,0,-39.834,-77.997,-46.62,-76.042,0,-46.505,0,0,0,-44.751,0,
TT_20_0.25_3, 20, 11, 0,0,-5,0,0,0,0,-9.84,0,-50.128,-33.872,-90,-14.096,-9.064,-48.88,-82,0,0,-28,-53.12,
TT_20_0.25_4, 20, 10, 0,-13,0,-65,0,0,-46,-1,-36,0,-14,-1,-74,0,-24,-43,0,-41,0,0,
TT_20_0.25_5, 20, 17, -2.499,-9.07,0,-54.392,0,-65.677,-75.01,-0.317,-53.313,-21.437,-86.82,-109.03,-0.357,-29.806,-32.608,0,-4.25,-6.177,-15.087,-101.15,
TT_20_0.25_6, 20, 16, -77,-13,0,-33,-59,-3,-41,-1,-26,-1,-27,-3,-62,0,0,-12,-48,0,-12,0,
TT_20_0.25_7, 20, 13, -32.692,-87.997,-6.629,0,-12.996,-36.246,0,-11.072,-5.36,-9.192,0,-61.75,-0.469,-74.888,-1.728,-20.998,-73.349,0,-49.05,-1.518,
TT_20_0.25_8, 20, 11, 0,0,0,0,-13.964,-1,0,-72,-13.576,-15.788,0,0,-44.852,-49.624,-60.312,-81,-53.064,-34.148,-3,-15.672,
TT_20_0.25_9, 20, 13, -1.855,0,-39.823,-86.09,-1.346,-0.653,-65,-29.349,-39.48,-40.848,-84.319,-26.022,-89.589,0,-55.672,0,-26.95,0,-1,-6,
TT_20_0.25_10, 20, 10, -4,-34.608,0,-3,-22.524,0,0,-47.456,0,-27.22,-74.544,-92,-66.915,-27.533,-25.358,0,0,0,-24.757,-73.085,
TT_20_0.25_11, 20, 11, -75.671,-33.308,0,0,-24.322,0,0,-25.361,0,-105.999,-14.857,-67.533,-11.137,-77.6,-51.103,0,-49.895,-64.189,0,0,
TT_20_0.25_12, 20, 12, 0,-54,-6,0,-69,0,-31.264,-1,-88,-90,0,-101,-12,0,-31,-18,-75,-27,0,-52.736,
TT_20_0.25_13, 20, 10, -4,-45,-7,0,0,-31,0,-79,-69,-62,-25,0,-1,-87,-96,-115,0,-39,-1,-67,
TT_20_0.25_14, 20, 13, 0,-64.384,-66.56,-10,-56.532,-37.327,-1,-16.682,-18.942,-82.248,0,0,-16.284,-110.21,-20.092,-89.79,-45.141,-4,0,-58.808,
TT_20_0.25_15, 20, 14, -27.913,-77.399,-0.997,-77.25,0,-1.272,-1.014,-21.066,0,-32.054,-54.132,-75.767,-27.538,-80.69,-75.889,0,-2.997,-63.272,0,-0.726,
TT_20_0.25_16, 20, 12, -48,-3,0,-31,0,-12,-65,-44,-6,-46,-18,0,0,-4,-19,-62,-31,0,0,-54,
TT_20_0.25_17, 20, 8, 0,-50,-60,0,-38,-28,-8,0,0,-1,-12,-58,-2,-1,-34,0,-16,0,-11,0,
TT_20_0.25_18, 20, 8, -27,0,-40,0,-18,-54,-27,0,-2,-23,-3,0,-60,-2,-13,-20,0,0,-52,0,
TT_20_0.25_19, 20, 13, 0,0,-36,0,-2,-16,-13,-26,-2,-48,0,-4,-67,-28,-56,-1,-18,-77,-2,-30,
TT_20_0.25_20, 20, 17, -5.415,-27.264,-51.566,0,0,-23.771,-27.736,-0.285,0,-20.237,-55.748,-101.24,-76.11,-82.89,-84.76,-0.444,-1.237,-0.888,-68.686,-24.722,
TT_20_0.25_21, 20, 16, -8,0,-71,0,0,-64,0,-28,-28,-1,-51,-73,-63,-43,-51,-4,-7,-8,-3,-72,
TT_20_0.25_22, 20, 11, -47,-56.999,-1.999,-71.408,-89.57,-0.796,0,-17.835,0,-1.999,-17.372,-79.019,-44.863,-34.253,-7.769,0,-70,-40.882,-18.225,-0.999,
TT_20_0.25_23, 20, 15, -1,-1.706,0,-48.79,-16.342,-84.32,-26.712,-57.672,-83.68,-64.568,-29.018,-1.294,0,-69.432,-5.269,-14.928,-59.538,0,-1.73,0,
TT_20_0.25_24, 20, 10, -58,-1,-29,0,0,0,0,-1,-3,0,-5,-23,-34,0,0,-49,-2,-28,-15,-60,
TT_20_0.25_25, 20, 10, -23.563,-2,-7.455,-44,0,-72,0,-5.545,0,0,-51.437,0,0,-70,-50.126,-33.874,0,-15,-70,0,
TT_20_0.25_26, 20, 11, -19.793,-1,0,-81.947,-1.106,0,0,0,-0.89,0,-60.765,0,-26.201,-50.231,-99,-80.692,-30,-19.381,-22.617,-65.355,
TT_20_0.25_27, 20, 13, -98.138,0,-35.167,-33.035,-64.232,-18,0,-1.08,-0.414,-34.798,0,0,-1.896,-2.61,-52.616,-61.976,-8,0,-53.176,-77.862,
TT_20_0.25_28, 20, 9, 0,-72.519,-72.68,0,-49.967,0,-8.999,0,0,0,-45.179,0,-79.8,-37.536,-38.464,-53.312,0,0,0,-59.54,
TT_20_0.25_29, 20, 9, -1,-7,0,-4,0,-45,-67,-73,-1,-14,-1,-27,0,-17,0,-91,-12,-20,-35,-18,
TT_20_0.25_30, 20, 12, -1,0,-12,-23,0,-64,-1,-4,-48,-1,-60,-37,0,-21,-10,-1,-37,-25,-3,-1,
TT_20_0.25_31, 20, 15, -19,-29,-61,-36,-32,-1,-63,-83,-73,-5,0,-2.808,-19,0,-2,0,-5.192,-88,-80,-41,
TT_20_0.25_32, 20, 12, -89,-63,-40,-73,-48,-31,0,0,0,0,0,-17,-56,0,-7,0,-15,0,-67,-4,
TT_20_0.25_33, 20, 16, 0,0,-90.84,-52.736,-10.774,0,-42.488,-72.352,-31.66,-4.492,-79.37,-81.32,-99.7,-0.896,-40.52,-4,-31.339,-106.77,-53.904,-1.833,
TT_20_0.25_34, 20, 10, -2.418,0,0,0,-103.42,-82.628,-54.122,0,0,-2.999,-1.574,-50.237,-52.963,0,-26,-21.999,-87.95,-57.384,0,-46.291,
TT_20_0.25_35, 20, 9, 0,-27,-22,0,-5,-23,0,-3,0,-3,-72,-57,-63,-45,0,-49,0,0,0,-31,
TT_20_0.25_36, 20, 12, -88,-69,-48,-11,-25,-60,0,0,-5,0,0,-1,-57,0,-1,0,-22,0,0,-1,
TT_20_0.25_37, 20, 9, -37,-62,-2,-2,-22.306,0,0,-50,-87,0,-68,-2,-50,-9,-19.02,0,-31.99,-7.684,0,-48,
TT_20_0.25_38, 20, 12, -2,-1,-71,-80,-31,-23,-1,0,0,-24,-60,0,-22,-9,-45,-2,-53,-41,-103,-2,
