Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_20_0.25_17, 20, 8, 0.061,2.559,51.523,41,1000,0.499734,0.5,0.477,3.05682,3.125,1,
TT_20_0.25_18, 20, 8, 0.128,2.681,52.579,41,1000,0.487888,0.491413,0.421652,5.39716,6.125,1,
TT_20_0.25_19, 20, 13, 0.082,4.198,101.581,41,1000,0.505546,0.516097,0.288,1.57591,2.15615,0.288,
TT_20_0.25_20, 20, 17, 0.143,10.062,274.271,41,1000,0.516866,0.520319,0.432071,5.53898,8.29559,0.562,
TT_20_0.25_21, 20, 16, 0.075,3.362,58.574,41,1000,0.518827,0.521156,0.46,4.54628,5.3125,1,
TT_20_0.25_22, 20, 11, 0.475,9.647,225.34,41,1000,0.46777,0.476622,0.2615,6.95816,8.59336,0.523,
TT_20_0.25_23, 20, 15, 0.297,6.954,126.986,41,1000,0.520515,0.52151,0.478,4.65026,5.73313,0.956,
TT_20_0.25_24, 20, 10, 0.059,2.164,45.805,41,1000,0.499584,0.5,0.463,1.42978,2,0.463,
TT_20_0.25_25, 20, 10, 0.402,6.26,174.174,41,1000,-nan(ind),0.416862,-0.3735,-nan(ind),5.7954,-0.747,
TT_20_0.25_26, 20, 11, 0.252,4.815,117.216,41,1000,0.499937,0.500005,0.486,5.20782,6.63645,0.992,
TT_20_0.25_27, 20, 13, 0.284,14.039,257.497,41,1000,0.540718,0.546321,0.488167,5.15015,6.69923,0.801,
TT_20_0.25_28, 20, 9, 0.604,34.937,497.732,41,1000,0.525864,0.528925,0.47937,9.80389,10.454,1,
TT_20_0.25_29, 20, 9, 0.077,3.156,57.352,41,1000,0.499586,0.5,0.467,3.64774,4.33333,1,
TT_20_0.25_30, 20, 12, 0.164,5.525,123.882,41,1000,0.594981,0.606226,0.492,2.56369,4.11008,0.492,
TT_20_0.25_31, 20, 15, 0.107,4.111,81.792,41,1000,0.512869,0.513778,0.485667,6.99222,8.2,1,
TT_20_0.25_32, 20, 12, 0.104,3.894,102.669,41,1000,0.499785,0.5,0.479,5.26117,7.16667,1,
TT_20_0.25_33, 20, 16, 0.737,14.273,380.655,41,1000,0.504911,0.505316,0.458143,9.14167,12.5401,1,
TT_20_0.25_34, 20, 10, 0.792,11.371,332.264,41,1000,0.50065,0.500848,0.4757,9.19219,12.306,1,
TT_20_0.25_35, 20, 9, 0.064,2.581,49.35,41,1000,0.499867,0.5,0.474,6.54121,6.66667,1,
TT_20_0.25_36, 20, 12, 0.18,4.722,137.202,41,1000,0.508851,0.50913,0.477278,3.99105,5.34867,0.501,
TT_20_0.25_37, 20, 9, 0.078,3.459,67.44,41,1000,0.483525,0.487477,0.4105,8.84443,9.55556,1,
TT_20_0.25_38, 20, 12, 0.116,3.731,77.049,41,1000,0.499933,0.5,0.488,4.60694,6.58333,0.998,
TT_20_0.25_39, 20, 9, 0.367,11.165,189.549,41,1000,0.502207,0.502522,0.4765,3.58202,4.56289,0.953,
TT_20_0.25_40, 20, 13, 0.298,5.406,120.928,41,1000,0.499827,0.500047,0.474,3.27262,4.30808,0.491,
TT_20_0.25_41, 20, 9, 0.337,6.238,155.425,41,1000,0.499449,0.499489,0.490667,6.22691,7.78056,0.494,
TT_20_0.25_42, 20, 8, 0.237,8.741,148.553,41,1000,0.503698,0.503734,0.495381,4.2961,6.13825,1,
TT_20_0.25_43, 20, 12, 0.454,7.02,205.945,41,1000,0.499759,0.500032,0.477,5.57166,6.00025,1,
TT_20_0.25_44, 20, 10, 0.129,3.632,84.738,41,1000,0.499722,0.5,0.4715,9.62816,10.4,1,
TT_20_0.25_45, 20, 13, 0.321,10.306,238.97,41,1000,0.523879,0.526353,0.4902,4.94173,6.002,1,
TT_20_0.25_46, 20, 12, 0.317,9.218,205.49,41,1000,0.511679,0.51388,0.3984,6.53195,8.58592,0.527,
TT_20_0.25_47, 20, 12, 0.242,7.027,255.854,41,1000,0.508165,0.509367,0.4806,7.46657,13.9299,0.625,
TT_20_0.25_48, 20, 14, 1.532,48.935,943.934,41,1000,0.524876,0.529704,0.447167,9.3442,15.0746,0.601,
TT_20_0.25_49, 20, 14, 0.706,26.266,505.079,41,1000,0.548352,0.555298,0.4364,5.96707,7.81886,0.74,
TT_20_0.50_0, 20, 5, 0.205,7.887,211.525,41,1000,0.579403,0.664494,0.435789,10.6573,12.1388,1,
TT_20_0.50_1, 20, 10, 0.299,8.775,257.377,41,1000,0.496024,0.496625,0.45175,7.65307,8.1192,1,
TT_20_0.50_2, 20, 4, 0.141,6.63,180.183,41,1000,0.500013,0.500042,0.495333,15.0004,15.0012,1,
TT_20_0.50_3, 20, 7, 0.807,15.504,225.36,41,1000,0.500646,0.500887,0.48,4.56604,8.29957,0.48,
TT_20_0.50_4, 20, 15, 0.188,4.538,105.541,41,1000,0.541723,0.545607,0.4846,2.43152,3.20327,0.658,
TT_20_0.50_5, 20, 9, 0.346,11.537,286.499,41,1000,0.607406,0.61272,0.483667,3.78671,5.26944,0.624,
TT_20_0.50_6, 20, 9, 0.775,25.716,476.083,41,1000,0.484043,0.486706,0.373,3.5585,7.00156,0.373,
