Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_15_0.25_22, 15, 13, 0.173,5.527,658.602,31,1000,0.519006,0.522689,0.440375,2.97353,3.38462,0.697,
TT_15_0.25_23, 15, 5, 0.039,1.076,222.3,31,1000,0.499753,0.5,0.481,6.3522,6.6,1,
TT_15_0.25_24, 15, 8, 0.141,3.593,597.301,31,1000,0.499876,0.5,0.484,12.7248,12.75,1,
TT_15_0.25_25, 15, 8, 0.134,1.638,320.604,31,1000,0.499778,0.5,0.477,2.63098,3,0.984,
TT_15_0.25_26, 15, 3, 0.075,1.596,1.107,31,6,0.5,0.5,0.5,7,7,1,
TT_15_0.25_27, 15, 6, 0.051,1.967,267.853,31,1000,0.548594,0.552533,0.486,3.32976,3.66667,1,
TT_15_0.25_28, 15, 7, 0.137,6.883,695.115,31,1000,0.499831,0.5,0.483,4.00398,4.28571,1,
TT_15_0.25_29, 15, 8, 0.243,2.606,386.289,31,1000,0.486319,0.490252,0.347,5.27792,6,1,
TT_15_0.25_30, 15, 6, 0.187,2.452,336.422,31,1000,0.577172,0.583333,0.4895,2.44873,4.83333,0.644,
TT_15_0.25_31, 15, 9, 0.037,1.158,303.938,31,1000,0.499926,0.5,0.484,2.47235,3.44444,0.484,
TT_15_0.25_32, 15, 8, 0.188,2.907,414.106,31,1000,0.499632,0.5,0.471,3.96571,6.5,0.492,
TT_15_0.25_33, 15, 7, 0.062,1.96,371.545,31,1000,0.499741,0.5,0.475,4.98868,5.28571,1,
TT_15_0.25_34, 15, 4, 0.028,0.774,3.74,31,24,0.5,0.5,0.5,2.95804,3,1,
