Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
20-instance-24, 20, 10, 0.001,0.01,0.214,19,9,4.49728e-08,0.2,0.142857,
20-instance-25, 20, 0, 0.002,0.025,0,21,0,1,-nan(ind),1,
20-instance-26, 20, 10, 0.003,0.078,0.262,18,7,9.77665e-05,0.4,0.375,
20-instance-27, 20, 0, 0.001,0.011,0,21,0,1,-nan(ind),1,
20-instance-28, 20, 11, 0.002,0.022,0.263,17,9,1.76078e-08,0.272727,0.125,
20-instance-29, 20, 6, 0.008,0.156,0.162,19,3,0.00137174,0.333333,0.333333,
20-instance-30, 20, 8, 0.01,0.158,0.248,18,7,1.18519e-05,0.25,0.2,
20-instance-31, 20, 5, 0.001,0.019,0.106,19,4,0.0740741,0.6,0.5,
20-instance-32, 20, 10, 0.01,0.106,0.317,16,8,2.37037e-05,0.4,0.2,
20-instance-33, 20, 0, 0,0.005,0,21,0,1,-nan(ind),1,
20-instance-34, 20, 0, 0.001,0.007,0,21,0,1,-nan(ind),1,
20-instance-35, 20, 8, 0.002,0.041,0.195,16,5,0.000391066,0.375,0.375,
20-instance-36, 20, 3, 0.004,0.029,0.036,20,3,0.037037,0.333333,0.333333,
20-instance-37, 20, 5, 0.011,0.153,0.086,20,5,0.00032,0.2,0.2,
20-instance-38, 20, 5, 0.001,0.009,0.071,20,5,0.00032,0.2,0.2,
20-instance-39, 20, 0, 0.001,0.021,0,21,0,1,-nan(ind),1,
20-instance-40, 20, 9, 0.004,0.046,0.311,17,6,0.000578704,0.444444,0.333333,
20-instance-41, 20, 7, 0.003,0.031,0.156,18,5,0.0026556,0.428571,0.428571,
20-instance-42, 20, 5, 0.011,0.061,0.144,18,3,0.0703125,0.6,0.5,
20-instance-43, 20, 8, 0.009,0.12,0.253,17,6,0.00303407,0.5,0.4,
20-instance-44, 20, 5, 0.007,0.046,0.137,18,4,0.0740741,0.6,0.5,
20-instance-45, 20, 11, 0.013,0.125,0.26,17,8,8.39808e-06,0.454545,0.2,
20-instance-46, 20, 6, 0.001,0.011,0.079,20,6,2.14335e-05,0.166667,0.166667,
20-instance-47, 20, 8, 0.019,0.206,0.233,17,6,0.0197754,0.625,0.5,
20-instance-48, 20, 2, 0.008,0.049,0.038,20,2,0.25,0.5,0.5,
20-instance-49, 20, 2, 0.001,0.012,0.026,20,2,0.25,0.5,0.5,
20-instance-50, 20, 3, 0.009,0.204,0.073,20,3,0.296296,0.666667,0.666667,
30-instance-1, 30, 7, 0.013,0.279,0.148,26,2,0.015625,0.571429,0.5,
30-instance-2, 30, 8, 0.003,0.038,0.251,29,4,0.00123596,0.5,0.25,
30-instance-3, 30, 7, 0.001,0.018,0.126,28,6,8e-05,0.285714,0.2,
30-instance-4, 30, 0, 0.011,0.164,0,31,0,1,-nan(ind),1,
30-instance-5, 30, 15, 0.01,0.043,0.262,30,15,2.28366e-18,0.0666667,0.0666667,
30-instance-6, 30, 10, 0.009,0.108,0.359,26,8,0.00303407,0.6,0.333333,
30-instance-7, 30, 2, 0,0.008,0.026,30,2,0.25,0.5,0.5,
30-instance-8, 30, 8, 0.009,0.211,0.125,30,8,5.96046e-08,0.125,0.125,
30-instance-9, 30, 15, 0.011,0.204,0.678,26,11,9.32556e-11,0.266667,0.142857,
30-instance-10, 30, 13, 0.003,0.054,0.5,25,9,2.18945e-08,0.307692,0.166667,
30-instance-11, 30, 4, 0.002,0.028,0.077,30,4,0.316406,0.75,0.75,
30-instance-12, 30, 17, 0.009,0.06,0.478,26,12,4.6155e-16,0.176471,0.0833333,
30-instance-13, 30, 5, 0.012,0.11,0.144,29,4,0.00925926,0.4,0.333333,
30-instance-14, 30, 14, 0.013,0.159,0.325,26,11,1.15108e-12,0.142857,0.125,
30-instance-15, 30, 9, 0.015,0.292,0.29,29,8,6.20181e-07,0.222222,0.166667,
30-instance-16, 30, 0, 0.019,0.365,0,31,0,1,-nan(ind),1,
30-instance-17, 30, 3, 0.001,0.033,0.066,30,3,0.296296,0.666667,0.666667,
