Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_15_0.25_35, 15, 6, 0.087,2.357,45.125,31,1000,0.500989,0.501238,0.469125,4.12944,4.18617,1,
TT_15_0.25_36, 15, 3, 0.148,1.583,54.053,31,1000,0.494725,0.49475,0.48925,7.91559,7.916,1,
TT_15_0.25_37, 15, 8, 0.351,6.366,229.978,31,1000,0.567971,0.597884,0.4064,8.29691,8.5715,1,
TT_15_0.25_38, 15, 10, 0.068,3.786,88.201,31,1000,0.594393,0.611882,0.480556,3.55349,4.5124,0.498,
TT_15_0.25_39, 15, 7, 0.035,1.108,29.915,31,1000,0.49982,0.5,0.481,2.12476,2.85714,0.481,
TT_15_0.25_40, 15, 13, 0.151,3.098,79.675,31,1000,0.539293,0.54842,0.410667,2.598,3.92531,0.562,
TT_15_0.25_41, 15, 10, 0.202,2.837,87.416,31,1000,0.490237,0.491609,0.409444,3.93838,5.7874,0.479,
TT_15_0.25_42, 15, 5, 0.129,2.404,99.745,31,1000,0.494881,0.49498,0.475833,5.33645,6.3086,1,
TT_15_0.25_43, 15, 12, 0.275,6.26,195.995,31,1000,0.553557,0.560753,0.449556,3.2735,3.59475,1,
TT_15_0.25_44, 15, 9, 0.112,4.75,131.656,31,1000,0.350288,0.387283,0.1386,5.13476,8.16989,0.279,
TT_15_0.25_45, 15, 9, 0.124,3.774,130.154,31,1000,0.530735,0.533826,0.469407,5.90284,8.00878,0.661,
TT_15_0.25_46, 15, 9, 0.186,5.579,61.274,31,1000,0.468734,0.469875,0.407174,9.15554,10.1336,1,
TT_15_0.25_47, 15, 11, 0.051,2.078,43.014,31,1000,0.528785,0.532607,0.437111,3.92894,4.18245,1,
TT_15_0.25_48, 15, 5, 0.162,2.128,74.1,31,1000,0.47095,0.471557,0.443429,4.69799,5.001,1,
TT_15_0.25_49, 15, 7, 0.038,1.266,33.15,31,1000,0.499666,0.5,0.467,5.77154,5.85714,1,
TT_15_0.50_0, 15, 4, 0.251,3.411,161.737,31,1000,0.70119,0.919419,0.453625,6.27163,8.7295,1,
TT_15_0.50_1, 15, 5, 0.25,2.769,148.988,31,1000,0.502632,0.503133,0.467667,7.30408,7.958,1,
TT_15_0.50_2, 15, 2, 0.218,3.189,93.145,31,1000,0.499788,0.500571,0.472571,3.49851,3.504,1,
TT_15_0.50_3, 15, 4, 0.138,3.298,69.36,31,1000,0.49379,0.496447,0.433111,4.68451,4.73925,1,
TT_15_0.50_4, 15, 2, 0.061,1.368,38.964,31,1000,0.477157,0.477222,0.469333,4.29441,4.295,1,
TT_15_0.50_5, 15, 2, 0.102,1.39,43.941,31,1000,0.477815,0.477833,0.473667,4.30034,4.3005,1,
TT_15_0.50_6, 15, 8, 0.234,2.643,75.68,31,1000,0.572782,0.616382,0.467875,2.19585,2.71463,0.568,
TT_15_0.50_7, 15, 4, 0.049,1.409,38.985,31,1000,0.499911,0.500531,0.472,1.99964,4.251,0.472,
TT_15_0.50_8, 15, 6, 0.318,5.2,166.678,31,1000,0.616204,0.64616,0.48,3.66267,4.3695,1,
TT_15_0.50_9, 15, 6, 0.371,7.917,212.075,31,1000,0.513496,0.524616,0.375,9.53751,11.6535,1,
TT_15_0.50_10, 15, 7, 0.177,4.762,121.371,31,1000,0.548957,0.553378,0.492556,5.40662,7.98557,1,
TT_15_0.50_11, 15, 3, 0.059,1.631,57.432,31,1000,0.501974,0.501976,0.499714,7.02763,7.02767,1,
TT_15_0.50_12, 15, 4, 0.042,1.321,34.217,31,1000,0.49801,0.498406,0.466625,4.22575,4.24325,1,
TT_15_0.50_13, 15, 6, 0.167,2.547,100.327,31,1000,0.521817,0.524069,0.48,3.29598,3.399,1,
TT_15_0.50_14, 15, 7, 0.036,1.526,45.19,31,1000,0.551224,0.554654,0.4981,3.03558,4.825,0.503,
TT_15_0.50_15, 15, 7, 0.08,5.876,133.428,31,1000,0.60303,0.611804,0.4915,3.24873,4.16186,0.775,
TT_15_0.50_16, 15, 2, 0.042,1.178,76.972,31,1000,0.508235,0.510583,0.461667,3.04941,3.0635,1,
