Name, n, |M|, XMAX
TT_15_0.50_34, 15, 3, -7,0,0,-3,-1,0,-21,-4,-6,-48,0,-14,0,0,0,
TT_15_0.50_35, 15, 5, -22,-2,-22,0,0,0,-35,0,0,0,0,-4,0,-1,0,
TT_15_0.50_36, 15, 6, 0,-37,0,0,0,0,-23,-1,0,-16,0,-38,-10,0,-6,
TT_15_0.50_37, 15, 5, -34,-23,-3,0,0,0,0,0,-2,0,0,-6,-18,-8,0,
TT_15_0.50_38, 15, 0, -5,0,0,0,-50,0,-2,-30,0,0,0,0,0,0,-38,
TT_15_0.50_39, 15, 6, -17,-32,-39,0,0,-3,-6,-1,0,-2,0,-4,-1,-4,0,
TT_15_0.50_40, 15, 6, 0,-10,-45,-7,-23,0,-2,0,0,0,0,0,0,0,0,
TT_15_0.50_41, 15, 4, -45,0,0,0,0,-1,0,-48,0,-2,-28,0,0,-5,0,
TT_15_0.50_42, 15, 2, 0,0,0,0,-51,-28,0,-50,0,-14,0,-1,-5,0,-9,
TT_15_0.50_43, 15, 4, -26,0,-1,-52,0,-23,-1,0,-3,-1,0,-54,0,-31,-5,
TT_15_0.50_44, 15, 4, 0,-51,-7,-52,0,0,-5,0,0,0,-2,-14,0,-35,-28,
TT_15_0.50_45, 15, 9, -6,-2,-3,-6,-14,-39,-2,-7,0,-42,0,-12,0,0,0,
TT_15_0.50_46, 15, 2, -2,-8,-1,0,0,-44,0,-2,0,0,-43,-15,-41,-5,0,
TT_15_0.50_47, 15, 4, 0,0,-13,0,0,0,0,-31,0,-2,0,0,0,0,-13,
TT_15_0.50_48, 15, 2, 0,-31,0,0,0,0,0,-2,-19,-50,0,-20,-6,0,0,
TT_15_0.50_49, 15, 8, 0,-22,-12,0,-4,-53,-54,0,0,0,-6,0,-19,0,0,
TT_20_0.05_0, 20, 16, -12,-85,-72,0,-5,-26,-23,0,0,0,-26,-23,-17,-59,-72,-3,-13,-57,-25,-87,
TT_20_0.05_1, 20, 14, -62,-71,-29,0,-1,-4,-5,-16,0,-5,-1,0,-38,-39,-54,-75,-47,-17,-25,-17,
TT_20_0.05_2, 20, 17, -11,-111,0,-1,-91,-49,-22,0,-50,-33,-30,-94,-1,-51,-22,-50,-53,-28,-1,-9,
TT_20_0.05_3, 20, 17, -16,-26,-55,-8,-6,0,-54,-97,-74,-55,-9,0,-47,-28,-1,-78,0,-16,-30,0,
TT_20_0.05_4, 20, 17, -9,-118,-9,0,-2,-67,-7,-80,-9,-78,-81,-55,-25,-27,-28,-29,-28,-83,-67,0,
TT_20_0.05_5, 20, 14, -5,-7,-3,-74,0,-25,-40,-1,0,-40,-55,0,-26,-54,-15,-26,-55,-14,0,-15,
TT_20_0.05_6, 20, 14, -30,-29,-67,-95,-28,0,-22,-95,0,-92,0,-15,-31,-15,-69,0,0,-70,0,-30,
TT_20_0.05_7, 20, 16, -8,-14,-1,-1,-51,-63,-7,-66,-98,-26,0,-1,-53,-62,-27,-63,-18,-24,-28,-1,
TT_20_0.05_8, 20, 17, -3,-35,-67,-89,-91,-85,-86,0,-89,-14,0,-18,-17,-37,-37,-1,0,-70,-3,-36,
TT_20_0.05_9, 20, 17, -6,-54,0,-29,-80,-11,-76,-1,0,0,-8,-52,0,-48,-56,-29,0,-8,0,-28,
TT_20_0.05_10, 20, 14, 0,0,-65,-69,-70,-51,-1,-65,0,-31,-8,-64,-4,-19,-53,-37,-23,-39,-12,-12,
TT_20_0.05_11, 20, 11, 0,-43,-28,0,-64,-1,-25,-12,0,-63,-8,-41,0,-15,-91,-4,-63,-4,-35,-39,
TT_20_0.05_12, 20, 17, 0,-28,-10,-18,-2,-69,-29,-41,-57,0,-55,-73,-40,0,-92,0,-20,-9,0,-10,
