Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_15_0.50_36, 15, 6, 0.051,1.815,391.227,31,1000,0.499923,0.5,0.489,2.99954,3.33333,1,
TT_15_0.50_37, 15, 5, 0.169,2,302.015,31,1000,0.49992,0.5,0.484,5.86509,6,1,
TT_15_0.50_38, 15, 0, 0.07,2.398,7.93317e-312,31,1,0,0,1,0,0,1,
TT_15_0.50_39, 15, 6, 0.249,2.495,357.622,31,1000,0.499858,0.5,0.481,1.37907,1.83333,0.481,
TT_15_0.50_40, 15, 6, 0.066,2.873,382.397,31,1000,0.545465,0.585333,0.244,3.65085,6.83333,0.756,
TT_15_0.50_41, 15, 4, 0.213,2.607,7.792,31,24,0.5,0.5,0.5,4.1833,4.25,1,
TT_15_0.50_42, 15, 2, 0.077,1.966,0.516,31,2,0.5,0.5,0.5,4.5,4.5,1,
TT_15_0.50_43, 15, 4, 0.118,3.009,6.413,31,24,0.5,0.5,0.5,3.74166,3.75,1,
TT_15_0.50_44, 15, 4, 0.427,9.987,17.027,31,24,0.5,0.5,0.5,4.74342,4.75,1,
TT_15_0.50_45, 15, 9, 0.049,1.744,426.07,31,1000,0.534112,0.536889,0.493,3.21924,4.88889,0.493,
TT_15_0.50_46, 15, 2, 0.048,1.22,0.28,31,2,0.5,0.5,0.5,4.5,4.5,1,
TT_15_0.50_47, 15, 4, 0.068,1.228,4.862,31,24,0.415474,0.422619,0.345238,4.78816,5.25,1,
TT_15_0.50_48, 15, 2, 0.053,1.251,0.41,31,2,0.5,0.5,0.5,1.5,1.5,1,
TT_15_0.50_49, 15, 8, 0.055,1.721,474.625,31,1000,0.543333,0.547067,0.487,4.11457,6.5,0.487,
TT_20_0.05_0, 20, 16, 0.072,3.929,1747.11,41,1000,0.519213,0.52125,0.48875,4.16785,5.75,1,
TT_20_0.05_1, 20, 14, 0.057,3.218,923.306,41,1000,0.499704,0.5,0.472,2.85665,3.14286,0.994,
TT_20_0.05_2, 20, 17, 0.085,5.236,1507.12,41,1000,0.514731,0.51625,0.47075,5.98252,7.76471,1,
TT_20_0.05_3, 20, 17, 0.105,3.925,1239.12,41,1000,0.496501,0.505992,0.243,3.39645,4.29412,0.243,
TT_20_0.05_4, 20, 17, 0.128,6.37,1699.46,41,1000,0.49987,0.5,0.480333,7.59798,9.11765,1,
TT_20_0.05_5, 20, 14, 0.056,2.853,783.95,41,1000,0.499808,0.5,0.476,4.26695,4.5,1,
TT_20_0.05_6, 20, 14, 0.104,5.252,1267.43,41,1000,0.499895,0.5,0.4835,8.9322,10.4286,1,
TT_20_0.05_7, 20, 16, 0.074,3.981,1225.63,41,1000,0.499914,0.5,0.485667,4.84923,6.4375,1,
TT_20_0.05_8, 20, 17, 0.125,6.649,1892.66,41,1000,0.499908,0.5,0.4815,9.67903,11.3529,1,
TT_20_0.05_9, 20, 17, 0.242,5.327,1374.21,41,1000,0.489199,0.490794,0.413833,4.33677,5.35294,0.442,
TT_20_0.05_10, 20, 14, 0.092,4.586,1159.77,41,1000,0.499478,0.5,0.457,6.51319,9.42857,1,
TT_20_0.05_11, 20, 11, 0.068,3.476,809.891,41,1000,0.499742,0.5,0.471,4.91109,5.81818,1,
TT_20_0.05_12, 20, 17, 0.223,6.181,1560.51,41,1000,0.500665,0.503956,0.43825,2.70282,3.05882,0.451,
