Name, n, |M|, distribution
TT_15_0.25_35, 15, 6, -18,-73,0,-8,0,0,0,-28,0,-55,0,-44,-17,0,-35,
TT_15_0.25_36, 15, 3, -2,-15,0,-39,0,-62,0,-20,-6,-16,0,-28,0,-56,0,
TT_15_0.25_37, 15, 8, -39,-63,-3,-10,-61,-5,0,-49,0,-21,0,-43,0,0,0,
TT_15_0.25_38, 15, 10, -51,-39,-61,-3,-22,-5,-11,0,-37,-20,0,-31,-1,-2,-1,
TT_15_0.25_39, 15, 7, -1,-23,-55,0,-34,-1,0,-31,-15,-18,0,-29,0,-6,0,
TT_15_0.25_40, 15, 13, 0,-6,-17,0,0,-70,-39,0,-51,-1,-54,-29,0,-15,-25,
TT_15_0.25_41, 15, 10, -3,-28,-6,-16,-1,-52,-38,-1,-5,0,-44,-1,0,-78,-48,
TT_15_0.25_42, 15, 5, 0,-10,-5,0,-57,0,0,-1,0,-7,-52,-42,0,-34,-22,
TT_15_0.25_43, 15, 12, -60,-6,-31,-14,-17,-41,0,-2,0,0,-5,0,-3,0,-48,
TT_15_0.25_44, 15, 9, -36,-38,-18,0,-77,0,-1,-42,-23,-57,0,-14,0,-41,0,
TT_15_0.25_45, 15, 9, -23,-62,0,-38,-9,0,-1,-84,-23,0,-6,-1,-56,0,-71,
TT_15_0.25_46, 15, 9, -7,-44,0,-48,0,-37,-6,-26,-1,-66,-84,-36,-20,-71,-1,
TT_15_0.25_47, 15, 11, -1,-56,-28,-20,0,-1,0,-31,-9,-9,-1,-4,-61,-4,-66,
TT_15_0.25_48, 15, 5, -37,-16,-3,0,0,-40,-22,-6,-60,0,-3,-18,-12,0,-30,
TT_15_0.25_49, 15, 7, 0,0,-2,0,-24,-36,-16,-39,-3,-1,0,-39,-17,-54,0,
TT_15_0.50_0, 15, 4, 0,0,0,0,-9,0,-67,-21,0,-42,-3,0,-1,-2,0,
TT_15_0.50_1, 15, 5, -21,0,0,0,-23,0,0,-30,-44,-55,0,0,-2,-23,0,
TT_15_0.50_2, 15, 2, -2,0,-10,0,-29,0,-1,0,-27,-1,-2,0,-37,0,-10,
TT_15_0.50_3, 15, 4, -1,0,0,-4,-1,0,-12,-67,-16,0,0,-34,0,-5,-31,
TT_15_0.50_4, 15, 2, -1,-54,-4,-28,0,0,-20,0,-5,-8,0,0,0,0,0,
TT_15_0.50_5, 15, 2, 0,0,0,0,-28,0,0,0,-8,-18,0,-41,-2,-1,0,
TT_15_0.50_6, 15, 8, -2,-23,-10,-16,-1,0,0,-1,-30,0,-42,-50,-3,-22,-47,
TT_15_0.50_7, 15, 4, -32,0,-1,0,-36,0,0,0,-17,-4,0,0,0,0,-54,
TT_15_0.50_8, 15, 6, -33,0,0,-60,-3,-21,-28,-64,-1,-10,0,0,0,0,-6,
TT_15_0.50_9, 15, 6, -3,0,0,-1,-1,-36,0,-15,-44,-10,-63,0,-53,0,0,
