Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_25_0.50_36, 25, 10, 0.331,7.646,1066.56,51,1000,0.519496,0.52075,0.489,3.37203,5.5,0.49,
TT_25_0.50_37, 25, 12, 2.059,22.623,2448.27,51,1000,0.50853,0.517641,0.344,3.88415,6,0.664,
TT_25_0.50_38, 25, 12, 0.164,9.917,1951.8,51,1000,0.515925,0.5175,0.487,7.05842,10.6667,0.652,
TT_25_0.50_39, 25, 9, 0.511,16.216,1759.81,51,1000,0.512227,0.512933,0.49,17.1598,18.3333,1,
TT_25_0.50_40, 25, 10, 0.598,11.339,1668.93,51,1000,0.507634,0.50926,0.4594,10.864,11.1,1,
TT_25_0.50_41, 25, 3, 0.055,3.556,1.752,51,6,0.5,0.5,0.5,5,5,1,
TT_25_0.50_42, 25, 6, 0.555,16.566,1201.38,51,1000,0.499506,0.5,0.472,2.23849,3.33333,0.479,
TT_25_0.50_43, 25, 11, 1.676,98.68,4415.41,51,1000,0.516891,0.519035,0.469,7.01589,11.4545,0.978,
TT_25_0.50_44, 25, 15, 1.317,246.237,11453.9,51,1000,0.562177,0.572333,0.421857,5.27702,7,1,
TT_25_0.50_45, 25, 8, 0.182,7.146,1055.04,51,1000,0.499631,0.5,0.47,4.73992,8.75,0.479,
TT_25_0.50_46, 25, 10, 0.382,19.21,1852.4,51,1000,0.508241,0.510933,0.435333,3.43534,4.6,0.654,
TT_25_0.50_47, 25, 13, 2.84,34.954,3036.49,51,1000,0.509099,0.510835,0.454182,13.4673,16.3077,1,
TT_25_0.50_48, 25, 5, 0.867,32.929,1469.32,51,1000,0.49962,0.5,0.4735,19.9848,20,1,
TT_25_0.50_49, 25, 9, 0.941,29.812,1978.38,51,1000,0.525029,0.525944,0.481,6.25726,12.1111,0.5,
