Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.50_13, 10, 2, 0.038,0.427,0.158,21,2,0.499997,0.5,0.498333,6.99996,7,1,
TT_10_0.50_14, 10, 4, 0.167,2.576,0.421,21,3,0.499999,0.5,0.499048,3.87298,4,1,
TT_10_0.50_15, 10, 2, 0.038,0.625,0.207,21,2,0.499997,0.5,0.498333,4.99997,5,1,
TT_10_0.50_16, 10, 6, 0.133,1.097,0.284,21,2,0.5,0.5,0.5,1.88988,2.66667,0.5,
TT_10_0.50_17, 10, 2, 0.019,0.334,0.208,21,2,0.5,0.5,0.5,1,1,1,
TT_10_0.50_18, 10, 5, 0.044,0.726,0.147,21,4,0.499998,0.5,0.498095,5.7475,6.2,1,
TT_10_0.50_19, 10, 6, 0.11,0.853,0.298,21,3,0.499999,0.5,0.49875,1.77844,2.5,0.49875,
TT_15_0.05_0, 15, 11, 0.05,1.713,0.132,31,7,0.499766,0.5,0.474124,4.73568,5.54545,1,
TT_15_0.05_1, 15, 12, 0.048,1.217,0.235,31,6,0.491553,0.5,0.398864,1.69481,2.25,0.490909,
TT_15_0.05_2, 15, 13, 0.04,1.203,0.269,31,7,0.492285,0.504623,0.35913,2.53675,3.15385,0.438261,
TT_15_0.05_3, 15, 11, 0.092,2.743,0.181,31,5,0.499997,0.5,0.497143,6.78638,7.90909,1,
TT_15_0.05_4, 15, 10, 0.178,2.471,0.125,31,7,0.474508,0.483375,0.3325,2.72629,4.4,0.665,
TT_15_0.05_5, 15, 9, 0.055,1.367,0.173,31,4,0.432538,0.444444,0.283684,2.86953,5.33333,0.567368,
TT_15_0.05_6, 15, 10, 0.098,3.068,0.268,31,7,0.498248,0.5,0.4389,19.3192,23.1,1,
TT_15_0.05_7, 15, 13, 0.043,1.664,0.203,31,6,0.506051,0.511706,0.347826,3.20959,3.84615,0.652174,
TT_15_0.05_8, 15, 10, 0.046,1.458,0.263,31,4,0.483131,0.5,0.343548,3.86257,4.7,1,
TT_15_0.05_9, 15, 11, 0.058,2.083,0.09,31,8,0.499912,0.5,0.480408,17.15,18,1,
TT_15_0.05_10, 15, 10, 0.049,1.518,0.096,31,8,0.49999,0.5,0.495,6.63702,7.5,1,
TT_15_0.05_11, 15, 9, 0.073,2.068,0.27,31,6,0.499996,0.5,0.496316,6.48031,8.11111,1,
TT_15_0.05_12, 15, 7, 0.063,1.826,0.114,31,5,0.499987,0.5,0.493333,3.5097,4.85714,1,
TT_15_0.05_13, 15, 10, 0.039,1.549,0.123,31,2,0.5,0.5,0.5,3.52824,5,1,
TT_15_0.05_14, 15, 12, 0.084,2.435,0.114,31,8,0.491617,0.505849,0.252955,4.67796,6.5,1,
