Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.50_14, 10, 4, 0.167,2.576,0.572,21,2,0.5,0.5,0.5,3.87298,4,1,
TT_10_0.50_15, 10, 2, 0.038,0.625,0.099,21,2,0.5,0.5,0.5,5,5,1,
TT_10_0.50_16, 10, 6, 0.133,1.097,0.467,21,2,0.5,0.5,0.5,1.88988,2.66667,0.5,
TT_10_0.50_17, 10, 2, 0.019,0.334,0.095,21,2,0.5,0.5,0.5,1,1,1,
TT_10_0.50_18, 10, 5, 0.044,0.726,0.204,21,4,0.5,0.5,0.5,5.74753,6.2,1,
TT_10_0.50_19, 10, 6, 0.11,0.853,0.57,21,2,0.5,0.5,0.5,1.77845,2.5,0.5,
TT_15_0.05_0, 15, 11, 0.05,1.713,0.853,31,8,0.5,0.5,0.5,4.7379,5.54545,1,
TT_15_0.05_1, 15, 12, 0.048,1.217,0.529,31,6,0.5,0.5,0.5,1.72394,2.25,0.5,
TT_15_0.05_2, 15, 13, 0.04,1.203,1.312,31,9,0.482526,0.483516,0.428571,2.48646,3.15385,0.5,
TT_15_0.05_3, 15, 11, 0.092,2.743,1.367,31,8,0.5,0.5,0.5,6.78642,7.90909,1,
TT_15_0.05_4, 15, 10, 0.178,2.471,1.046,31,6,0.467624,0.47,0.4,2.68674,4.4,0.4,
TT_15_0.05_5, 15, 9, 0.055,1.367,0.766,31,7,0.43679,0.444444,0.333333,2.89775,5.33333,0.666667,
TT_15_0.05_6, 15, 10, 0.098,3.068,0.962,31,9,0.5,0.5,0.5,19.3872,23.1,1,
TT_15_0.05_7, 15, 13, 0.043,1.664,0.976,31,6,0.5,0.5,0.5,3.17122,3.84615,0.5,
TT_15_0.05_8, 15, 10, 0.046,1.458,0.721,31,7,0.5,0.5,0.5,3.99743,4.7,1,
TT_15_0.05_9, 15, 11, 0.058,2.083,0.942,31,10,0.5,0.5,0.5,17.153,18,1,
TT_15_0.05_10, 15, 10, 0.049,1.518,0.554,31,8,0.5,0.5,0.5,6.63715,7.5,1,
TT_15_0.05_11, 15, 9, 0.073,2.068,0.96,31,7,0.5,0.5,0.5,6.48036,8.11111,1,
TT_15_0.05_12, 15, 7, 0.063,1.826,0.523,31,4,0.5,0.5,0.5,3.50979,4.85714,1,
TT_15_0.05_13, 15, 10, 0.039,1.549,0.873,31,4,0.5,0.5,0.5,3.52824,5,1,
TT_15_0.05_14, 15, 12, 0.084,2.435,1.051,31,9,0.472163,0.473684,0.421053,4.49284,6.5,0.842105,
TT_15_0.05_15, 15, 10, 0.059,2.088,0.774,31,8,0.5,0.5,0.5,8.17221,9.3,1,
TT_15_0.05_16, 15, 10, 0.04,1.399,0.529,31,6,0.5,0.5,0.5,2.81635,3,1,
TT_15_0.05_17, 15, 7, 0.044,1.44,0.373,31,2,0.5,0.5,0.5,5.07243,5.14286,1,
TT_15_0.05_18, 15, 7, 0.037,1.246,0.383,31,4,0.5,0.5,0.5,2.43803,4.14286,0.5,
TT_15_0.05_19, 15, 10, 0.071,2.191,0.855,31,8,0.5,0.5,0.5,9.58732,11.3,1,
TT_15_0.25_0, 15, 6, 0.17,2.782,0.589,31,2,0.5,0.5,0.5,2.2407,3.33333,0.5,
TT_15_0.25_1, 15, 8, 0.04,0.957,0.477,31,6,0.40903,0.414634,0.333333,1.83208,3.625,0.333333,
TT_15_0.25_2, 15, 9, 0.175,1.907,0.81,31,6,0.463305,0.464387,0.435897,3.00381,3.66667,0.435897,
TT_15_0.25_3, 15, 9, 0.068,1.975,0.96,31,5,0.469434,0.471264,0.413793,2.92397,3.44444,1,
TT_15_0.25_4, 15, 10, 0.055,1.611,0.816,31,7,0.485211,0.485714,0.452381,5.84193,6.4,1,
TT_15_0.25_5, 15, 5, 0.043,1.424,0.237,31,4,0.5,0.5,0.5,4.79366,4.8,1,
TT_15_0.25_6, 15, 5, 0.14,3.389,0.624,31,2,0.5,0.5,0.5,5.86602,6,1,
TT_15_0.25_7, 15, 7, 0.044,1.194,0.462,31,5,0.5,0.5,0.5,5.45037,6,1,
TT_15_0.25_8, 15, 6, 0.043,1.066,0.366,31,5,0.447214,0.45,0.4,5.63454,6.66667,1,
