Name, n, |M|, XMAX
TT_10_0.05_0, 10, 5, 2,6,40,35,1,12,2,34,49,32,
TT_10_0.05_1, 10, 5, 30,18,39,3,18,24,0,4,6,4,
TT_10_0.05_2, 10, 3, 48,20,0,10,2,16,49,0,50,7,
TT_10_0.05_3, 10, 5, 37,5,4,0,38,16,37,0,0,17,
TT_10_0.05_4, 10, 6, 2,2,42,8,52,2,0,42,43,41,
TT_10_0.05_5, 10, 4, 17,14,14,12,23,29,12,0,0,35,
TT_10_0.05_6, 10, 5, 32,60,0,9,16,58,29,3,58,0,
TT_10_0.05_7, 10, 2, 1,31,39,18,0,5,10,49,3,30,
TT_10_0.05_8, 10, 5, 8,2,12,8,28,9,1,35,21,15,
TT_10_0.05_9, 10, 2, 16,24,2,0,9,40,4,6,32,0,
TT_10_0.05_10, 10, 6, 11,0,16,11,28,11,28,12,37,0,
TT_10_0.05_11, 10, 6, 20,1,60,13,1,0,60,7,59,60,
TT_10_0.05_12, 10, 5, 3,8,37,32,0,32,45,12,3,31,
TT_10_0.05_13, 10, 4, 54,8,53,55,0,14,53,0,5,0,
TT_10_0.05_14, 10, 6, 12,35,5,16,34,5,53,0,53,5,
TT_10_0.05_15, 10, 7, 19,44,44,24,7,7,8,0,6,19,
TT_10_0.05_16, 10, 7, 42,34,37,63,62,34,3,0,13,14,
TT_10_0.05_17, 10, 7, 8,16,10,20,17,8,1,31,26,10,
TT_10_0.05_18, 10, 4, 41,3,32,12,5,2,18,11,23,0,
TT_10_0.05_19, 10, 7, 5,6,26,4,18,17,1,18,4,21,
TT_10_0.25_0, 10, 5, 57,43,39,36,0,1,1,6,30,0,
TT_10_0.25_1, 10, 6, 3,23,9,0,36,19,34,2,0,0,
TT_10_0.25_2, 10, 2, 13,0,10,0,0,0,35,0,27,0,
TT_10_0.25_3, 10, 4, 0,5,10,31,31,15,5,1,0,34,
TT_10_0.25_4, 10, 9, 10,31,13,10,1,1,3,4,1,29,
TT_10_0.25_5, 10, 4, 27,11,0,55,54,3,6,0,2,39,
TT_10_0.25_6, 10, 0, 30,0,5,5,0,0,20,36,29,1,
TT_10_0.25_7, 10, 5, 0,53,2,11,15,46,18,50,0,3,
TT_10_0.25_8, 10, 4, 0,21,36,0,20,15,6,0,33,0,
TT_10_0.25_9, 10, 4, 1,1,0,21,25,0,1,29,0,6,
TT_10_0.25_10, 10, 6, 1,23,12,4,0,0,2,38,14,22,
TT_10_0.25_11, 10, 2, 0,39,6,6,19,11,0,0,24,8,
TT_10_0.25_12, 10, 7, 0,1,45,0,1,39,47,20,15,44,
TT_10_0.25_13, 10, 0, 1,0,23,0,27,0,1,16,0,3,
TT_10_0.25_14, 10, 4, 1,1,1,25,13,21,3,1,1,0,
TT_10_0.25_15, 10, 5, 1,2,0,0,0,14,13,54,50,51,
TT_10_0.25_16, 10, 3, 1,32,12,33,2,0,42,0,40,0,
TT_10_0.25_17, 10, 5, 0,49,0,44,4,25,0,28,42,2,
TT_10_0.25_18, 10, 6, 0,0,46,50,0,9,0,62,57,13,
TT_10_0.25_19, 10, 8, 39,0,3,6,5,23,30,7,24,6,
TT_10_0.50_0, 10, 0, 0,4,24,1,0,0,0,0,0,18,
TT_10_0.50_1, 10, 4, 0,5,0,30,37,2,0,0,0,2,
TT_10_0.50_2, 10, 2, 0,3,0,5,22,0,2,3,0,18,
TT_10_0.50_3, 10, 2, 20,4,0,0,3,3,0,26,0,0,
TT_10_0.50_4, 10, 2, 39,0,5,34,0,0,0,0,9,8,
TT_10_0.50_5, 10, 2, 11,17,1,0,1,13,3,1,29,0,
TT_10_0.50_6, 10, 0, 8,1,0,3,0,0,7,0,33,0,
TT_10_0.50_7, 10, 0, 11,1,24,0,0,0,4,0,0,28,
TT_10_0.50_8, 10, 4, 0,4,0,17,3,0,2,31,0,18,
TT_10_0.50_9, 10, 0, 6,1,25,1,36,0,0,0,0,3,
TT_10_0.50_10, 10, 2, 3,3,41,12,4,7,50,0,9,2,
TT_10_0.50_11, 10, 4, 10,4,0,20,47,1,0,17,58,1,
TT_10_0.50_12, 10, 0, 30,0,2,0,0,3,45,2,18,4,
TT_10_0.50_13, 10, 2, 0,32,2,0,0,0,0,24,0,23,
TT_10_0.50_14, 10, 4, 43,6,0,0,29,29,0,17,4,0,
TT_10_0.50_15, 10, 2, 7,6,39,42,0,0,0,0,5,3,
TT_10_0.50_16, 10, 6, 0,6,1,37,10,11,0,23,0,1,
TT_10_0.50_17, 10, 2, 2,0,0,0,0,0,2,12,9,0,
TT_10_0.50_18, 10, 5, 0,0,18,46,0,5,28,23,9,7,
