Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt50-29, 50, 5, 0.003,0.05,0.729,50,1000,0.799957,0.8,0.793,
wt50-30, 50, 0, 0.015,0.723,0,51,1,0,0,1,
wt50-31, 50, 0, 0.013,0.646,0,51,1,0,0,1,
wt50-32, 50, 10, 0.008,0.489,17.311,48,1000,0.29107,0.3369,0.155,
wt50-33, 50, 0, 0.013,0.56,0,51,1,0,0,1,
wt50-34, 50, 4, 0.013,0.747,0.472,49,24,0.624737,0.645833,0.416667,
wt50-35, 50, 6, 0.023,0.839,27.22,47,1000,0.419484,0.448167,0.311,
wt50-36, 50, 5, 0.01,0.837,20.834,49,1000,0.29256,0.3224,0.179,
wt50-37, 50, 3, 0.021,0.797,0.121,49,6,0.529134,0.555556,0.333333,
wt50-38, 50, 6, 0.022,0.816,33.829,47,1000,0.429941,0.463833,0.217,
wt50-39, 50, 0, 0.023,0.854,0,51,1,0,0,1,
wt50-40, 50, 3, 0.039,1.021,0.249,49,6,0.529134,0.555556,0.333333,
wt50-41, 50, 6, 0.029,0.877,40.52,48,1000,0.347603,0.411333,0.162,
wt50-42, 50, 4, 0.017,0.872,0.335,49,24,0.402964,0.4375,0.25,
wt50-43, 50, 0, 0.018,1.1,0,51,1,0,0,1,
wt50-44, 50, 5, 0.024,1.019,39.617,48,1000,0.486692,0.5076,0.286,
wt50-45, 50, 4, 0.015,0.305,0.441,49,24,0.697217,0.708333,0.583333,
wt50-46, 50, 2, 0.016,0.325,0.067,50,2,0.5,0.5,0.5,
wt50-47, 50, 0, 0.012,0.364,0,51,1,0,0,1,
wt50-48, 50, 0, 0.018,0.616,0,51,1,0,0,1,
wt50-49, 50, 0, 0.014,0.381,0,51,1,0,0,1,
wt100-0, 100, 2, 0.017,1.566,0.051,100,2,0.5,0.5,0.5,
wt100-1, 100, 0, 0.016,1.529,0,101,1,0,0,1,
wt100-2, 100, 10, 0.021,1.308,23.273,99,1000,0.775966,0.7861,0.586,
wt100-3, 100, 10, 0.02,1.544,24.379,98,1000,0.533482,0.6062,0.228,
wt100-4, 100, 17, 0.021,1.726,27.048,97,1000,0.621916,0.703412,0.172,
wt100-5, 100, 21, 0.043,2.451,146.85,94,1000,0.604594,0.682952,0.192,
wt100-6, 100, 0, 0.026,2.526,0,101,1,0,0,1,
wt100-7, 100, 14, 0.024,2.37,34.917,97,1000,0.400975,0.527714,0.147,
wt100-8, 100, 0, 0.031,2.413,0,101,1,0,0,1,
wt100-9, 100, 8, 0.028,2.274,35.517,97,1000,0.484988,0.553875,0.207,
wt100-10, 100, 0, 0.041,3.189,0,101,1,0,0,1,
wt100-11, 100, 17, 0.039,3.002,47.848,94,1000,0.247053,0.369059,0.071,
wt100-12, 100, 0, 0.029,3.379,0,101,1,0,0,1,
wt100-13, 100, 5, 0.039,2.991,50.541,98,1000,0.553483,0.573,0.413,
wt100-14, 100, 7, 0.044,2.971,45.957,96,1000,0.544359,0.560429,0.427,
wt100-15, 100, 17, 0.062,3.244,81.159,95,1000,0.501421,0.638471,0.122,
wt100-16, 100, 4, 0.049,3.645,1.456,98,24,0.5,0.5,0.5,
wt100-17, 100, 4, 0.068,3.441,1.439,99,24,0.697217,0.708333,0.583333,
wt100-18, 100, 0, 0.05,3.61,0,101,1,0,0,1,
wt100-19, 100, 11, 0.031,3.01,41.942,95,1000,0.397827,0.484909,0.138,
wt100-20, 100, 6, 0.043,1.439,44.155,97,1000,0.429776,0.461,0.234,
wt100-21, 100, 0, 0.023,0.822,0,101,1,0,0,1,
wt100-22, 100, 0, 0.017,0.916,0,101,1,0,0,1,
