Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt50-35, 50, 6, 0.023,0.839,32.783,47,1,0,0.333333,0,
wt50-36, 50, 5, 0.01,0.837,19.102,49,1,0,0.4,0,
wt50-37, 50, 3, 0.021,0.797,22.762,49,1,0,0.333333,0,
wt50-38, 50, 6, 0.022,0.816,36.994,47,1,0,0.333333,0,
wt50-39, 50, 0, 0.023,0.854,0,51,1,0,0,1,
wt50-40, 50, 3, 0.039,1.021,52.054,49,1,0,0.333333,0,
wt50-41, 50, 6, 0.029,0.877,45.226,48,1,0,0.5,0,
wt50-42, 50, 4, 0.017,0.872,18.29,49,1,0,0.25,0,
wt50-43, 50, 0, 0.018,1.1,0,51,1,0,0,1,
wt50-44, 50, 5, 0.024,1.019,44.235,48,1,0,0.4,0,
wt50-45, 50, 4, 0.015,0.305,17.416,49,3,0.675091,0.67575,0.632,
wt50-46, 50, 2, 0.016,0.325,24,50,2,0.499991,0.5,0.497,
wt50-47, 50, 0, 0.012,0.364,0,51,1,0,0,1,
wt50-48, 50, 0, 0.018,0.616,0,51,1,0,0,1,
wt50-49, 50, 0, 0.014,0.381,0,51,1,0,0,1,
wt100-0, 100, 2, 0.017,1.566,17.26,100,1,0,0.5,0,
wt100-1, 100, 0, 0.016,1.529,0,101,1,0,0,1,
wt100-2, 100, 10, 0.021,1.308,25.357,99,1,0,0.7,0,
wt100-3, 100, 10, 0.02,1.544,29.789,98,1,0,0.6,0,
wt100-4, 100, 17, 0.021,1.726,30.989,97,1,0,0.705882,0,
wt100-5, 100, 21, 0.043,2.451,281.985,94,1,0,0.666667,0,
wt100-6, 100, 0, 0.026,2.526,0,101,1,0,0,1,
wt100-7, 100, 14, 0.024,2.37,34.47,97,1,0,0.571429,0,
wt100-8, 100, 0, 0.031,2.413,0,101,1,0,0,1,
wt100-9, 100, 8, 0.028,2.274,31.543,97,1,0,0.5,0,
wt100-10, 100, 0, 0.041,3.189,0,101,1,0,0,1,
wt100-11, 100, 17, 0.039,3.002,44.539,94,1,0,0.411765,0,
wt100-12, 100, 0, 0.029,3.379,0,101,1,0,0,1,
wt100-13, 100, 5, 0.039,2.991,57.784,98,1,0,0.6,0,
wt100-14, 100, 7, 0.044,2.971,46.118,96,1,0,0.571429,0,
wt100-15, 100, 17, 0.062,3.244,93.348,95,1,0,0.588235,0,
wt100-16, 100, 4, 0.049,3.645,62.061,98,1,0,0.5,0,
wt100-17, 100, 4, 0.068,3.441,58.493,99,1,0,0.75,0,
wt100-18, 100, 0, 0.05,3.61,0,101,1,0,0,1,
wt100-19, 100, 11, 0.031,3.01,55.801,95,1,0,0.545455,0,
wt100-20, 100, 6, 0.043,1.439,38.804,97,1,0,0.5,0,
wt100-21, 100, 0, 0.023,0.822,0,101,1,0,0,1,
wt100-22, 100, 0, 0.017,0.916,0,101,1,0,0,1,
wt100-23, 100, 0, 0.016,0.716,0,101,1,0,0,1,
wt100-24, 100, 0, 0.018,1.182,0,101,1,0,0,1,
wt100-25, 100, 7, 0.002,0.183,0.939,100,1,0,0.857143,0,
wt100-26, 100, 3, 0.008,0.488,6.035,100,1,0,0.333333,0,
wt100-27, 100, 14, 0.002,0.153,1.327,100,1,0,0.928571,0,
wt100-28, 100, 14, 0.004,0.258,1.825,98,1,0,0.928571,0,
wt100-29, 100, 6, 0.003,0.191,1.435,100,1,0,0.833333,0,
wt100-30, 100, 15, 0.025,2.411,39.124,97,1,0,0.533333,0,
wt100-31, 100, 0, 0.018,2.173,0,101,1,0,0,1,
wt100-32, 100, 13, 0.03,2.281,53.935,97,1,0,0.615385,0,
wt100-33, 100, 4, 0.029,2.289,39.829,99,1,0,0.5,0,
wt100-34, 100, 8, 0.016,2.387,31.457,98,1,0,0.625,0,
wt100-35, 100, 31, 0.034,2.601,60.57,92,1,0,0.516129,0,
wt100-36, 100, 7, 0.02,2.779,42.152,98,1,0,0.285714,0,
wt100-37, 100, 2, 0.03,2.794,38.973,100,1,0,0.5,0,
wt100-38, 100, 9, 0.021,2.96,42.034,98,1,0,0.333333,0,
wt100-39, 100, 0, 0.058,3.045,0,101,1,0,0,1,
wt100-40, 100, 20, 0.072,4.584,339.279,93,1,0,0.6,0,
wt100-41, 100, 3, 0.056,3.852,80.508,100,1,0,0.666667,0,
wt100-42, 100, 7, 0.04,3.103,61.585,97,1,0,0.428571,0,
wt100-43, 100, 7, 0.033,3.147,67.129,97,1,0,0.428571,0,
wt100-44, 100, 6, 0.075,5.126,136.424,99,1,0,0.5,0,
wt100-45, 100, 2, 0.016,1.137,20.559,100,1,0,0.5,0,
wt100-46, 100, 0, 0.031,1.617,0,101,1,0,0,1,
wt100-47, 100, 3, 0.046,1.312,45.785,99,1,0,0.333333,0,
wt100-48, 100, 4, 0.016,1.099,39.354,99,1,0,0.25,0,
wt100-49, 100, 10, 0.02,0.847,46.232,96,1,0,0.6,0,
