Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt50-29, 50, 5, 0.003,0.05,2.735,50,1000,0.799829,0.8,0.782,
wt50-30, 50, 0, 0.015,0.723,0,51,1,0,0,1,
wt50-31, 50, 0, 0.013,0.646,0,51,1,0,0,1,
wt50-32, 50, 10, 0.008,0.489,16.328,48,1000,0.121981,0.3208,0.012,
wt50-33, 50, 0, 0.013,0.56,0,51,1,0,0,1,
wt50-34, 50, 4, 0.013,0.747,19.189,49,1000,0.585093,0.60675,0.427,
wt50-35, 50, 6, 0.023,0.839,24.196,47,1000,0.41352,0.446667,0.24,
wt50-36, 50, 5, 0.01,0.837,20.489,49,1000,0,0.4,0,
wt50-37, 50, 3, 0.021,0.797,19.24,49,1000,0.527238,0.542,0.374,
wt50-38, 50, 6, 0.022,0.816,29.844,47,1000,0.347388,0.423833,0.144,
wt50-39, 50, 0, 0.023,0.854,0,51,1,0,0,1,
wt50-40, 50, 3, 0.039,1.021,34.209,49,1000,0.50092,0.602333,0.193,
wt50-41, 50, 6, 0.029,0.877,38.441,48,1000,0.0630128,0.498667,0.002,
wt50-42, 50, 4, 0.017,0.872,19.208,49,1000,0.0494056,0.4995,0.002,
wt50-43, 50, 0, 0.018,1.1,0,51,1,0,0,1,
wt50-44, 50, 5, 0.024,1.019,25.828,48,1000,0.197121,0.5888,0.006,
wt50-45, 50, 4, 0.015,0.305,18.587,49,1000,0.670124,0.69225,0.421,
wt50-46, 50, 2, 0.016,0.325,16.498,50,1000,0.132951,0.5,0.018,
wt50-47, 50, 0, 0.012,0.364,0,51,1,0,0,1,
wt50-48, 50, 0, 0.018,0.616,0,51,1,0,0,1,
wt50-49, 50, 0, 0.014,0.381,0,51,1,0,0,1,
wt100-0, 100, 2, 0.017,1.566,24.845,100,1000,0.499775,0.5,0.485,
wt100-1, 100, 0, 0.016,1.529,0,101,1,0,0,1,
wt100-2, 100, 10, 0.021,1.308,25.007,99,1000,0.401023,0.7438,0.001,
