Name, n, |M|, distribution
TT_25_0.05_11, 25, 22, -18.156,0,-22.976,-83.964,-65,-13.931,-30.06,0,-87.991,-2.006,-9.048,0,-86.045,-31.94,-22.868,-113.49,-1.984,-49.28,-50.881,-2.01,-117.23,-50.839,-11.021,-116.28,-64,
TT_25_0.05_12, 25, 20, -0.521,0,-21.435,-56.598,-19,-69.84,-109.07,-12.587,0,-0.479,-71.8,-93.671,-22.565,-7.425,0,-51.402,-8.539,-69.36,-93.329,0,-11.449,-38.838,-107.93,-37.88,-40.282,
TT_25_0.05_13, 25, 17, -31.065,-48,0,-106.93,-76.287,-18,-8.623,-33.92,-108.07,-77.433,-77.757,-76.667,0,0,-7.515,0,-32.015,-76.856,-44,-11.455,0,-11.407,-17.828,-21.172,0,
TT_25_0.05_14, 25, 21, -1.695,-70.176,0,-9,-97.203,-42.472,-12.084,-102.797,-0.375,0,-47.528,-27.754,-15,-73.024,-27.102,-29.144,-3.399,-3.578,-0.953,-70.728,-116.2,-67.912,-117.8,-72.16,-12.916,
TT_25_0.05_15, 25, 22, -0.988,-22.43,-97.518,-117.95,0,-19.445,-39.228,-96.482,-81.16,-55.535,-37.994,-3.012,-62.465,-40.754,-37.024,-118.31,-4.644,0,-75.048,-77.792,-119.74,0,-20.685,-21.44,-4.356,
TT_25_0.05_16, 25, 21, -0.511,-66.273,-35.976,-71.259,-16.076,0,-106.581,-4.024,-66.14,-67.811,-4.039,-8.937,-36.024,-19.904,-66.965,-15.02,-64.405,-120,0,-106.419,-25.58,-67.147,-95,-26.42,-2.489,
TT_25_0.05_17, 25, 18, -36.796,-31.994,-35.21,-7.892,0,0,0,-55.21,-9.087,-10.249,0,-94.18,-13.847,-68.976,-21.94,0,-90.009,-24.06,-113,-50.923,-92.811,0,-74.024,-50.867,-9.925,
TT_25_0.05_18, 25, 21, -52.657,-87.293,-30.72,-66,0,-113.01,-18.968,-87.077,-20.908,-0.153,-49.147,0,-1.114,-22.18,-7.691,-42,-117.99,-4.24,-2.41,-90.572,-8.392,-30.28,-87.058,-52.196,-17.944,
TT_25_0.05_19, 25, 21, -11.776,-64.346,-13.136,0,-126,-45.58,-109.928,-25.51,-79.072,-28.3,-7.968,-63.654,-31.625,-48.198,-132,-82.032,-50.222,-8.12,-105.198,-81.896,-32.565,0,-109.874,-1,0,
TT_25_0.05_20, 25, 20, -0.472,-15.204,0,-23.3,0,-9.96,-11.696,-0.528,-13.064,-15.076,-52.416,-29.7,0,-79.928,-37.964,-109.04,-3,-80.88,-39.976,-52.584,-41.06,-80.168,-111.96,-101,-75.024,
TT_25_0.05_21, 25, 18, -31.155,-3,-52.88,-56.15,-101.32,-16.096,-53.432,-80.423,-10.84,-11.232,-93,0,-116,-55.538,-28.955,-27.89,0,-82.577,-53.204,-56.796,-101.68,-10.844,0,0,-13.988,
TT_25_0.05_22, 25, 20, -86.095,-17.652,-40.71,-18.156,0,0,-19.872,-40.7,-1.982,-2.018,-2,-76,-41.595,-108.55,-109.45,-41.25,-56.964,-59.036,-70,-20.32,-9.419,-5.581,-36.505,-90.905,-40.24,
TT_25_0.05_23, 25, 22, -40.288,-7.085,-41.712,-0.77,0,-91,-117.56,-21.57,-4.185,-65.21,-3.265,-24.43,-0.312,-46.88,-17.948,-115.96,-4.383,-85,-112.43,-18.052,-44.928,-71.832,-71.958,-45.192,-118.05,
TT_25_0.05_24, 25, 24, -39.091,-41.965,-9.052,-0.742,-94.869,-135.18,-134.83,-11.634,-1.024,-93.698,0,-30.054,-66.04,-12.224,-11.968,-64.144,-92.203,-12.38,-41.944,-0.976,-25.946,-60.816,-93.23,-133.43,-132.56,
TT_25_0.05_25, 25, 21, -69.912,-3.847,-2.322,-69.44,-37.755,-28,-71.952,-37.986,-109.75,-70.688,-11.422,-4.148,-38.259,-12.617,-4.01,-2.998,-18,-0.675,-70.168,-16.554,-69.84,-98,-113.25,0,-13.407,
TT_25_0.05_26, 25, 20, -30.365,-89.064,-64.024,-106,0,-31.305,-29.1,0,-73,-9.02,-123.79,-4,-34.885,-124.21,-88.88,-59.288,-29.385,-91.056,-1.53,-8.98,-64.024,-62.664,-35.225,-1.47,-30.735,
TT_25_0.05_27, 25, 20, -33,-70.32,-19.916,-130.451,-73.704,0,-71.712,-72.68,-72.456,-22.084,-162,-8.575,-10.425,-156,0,0,-67.584,-126.54,-128.486,-125.415,-125.108,-70.792,-70.088,-70.664,-2,
TT_25_0.05_28, 25, 21, -25.924,-9.745,-24.284,-7.024,-84,-100.59,-79,-1.502,-98.41,0,-0.498,0,-60.886,-60.234,-62.784,-36.94,-41.12,-22,-20.792,-11.186,-7.027,-62.036,-38.94,-60.06,-9.018,
TT_25_0.05_29, 25, 24, -56.441,-76.072,-0.36,-0.137,0,-28.838,-9.956,-53.804,-54.447,-78.928,-20.54,-119.02,-2.532,-20.46,-96.144,-0.725,-2.96,-56.741,-120.98,-102.856,-57.567,-11.044,-96,-4.286,-34.162,
TT_25_0.05_30, 25, 23, -108.75,-114.35,-63,-12.954,-107.73,-6.943,-111.19,-29.53,-34,-7.162,-0.288,-22.94,-77.41,-0.65,-25.06,-54.126,-0.507,-1.091,-52.168,-27.47,-8.216,-73.59,-113.98,-48.706,-12.189,
TT_25_0.05_31, 25, 20, 0,-43.53,-30,-15.958,-7.028,0,-43.74,-73.668,-17.063,-15.979,0,-26.832,-7.928,-29.124,-71.332,0,0,-7.944,-59.88,-47.31,-26.044,-44.42,-5,-60.12,-8.1,
TT_25_0.05_32, 25, 19, -58.311,-101.86,-39.036,-60.835,-10.821,-78.338,-27.425,-59.689,0,-27.575,-11.458,0,-9.26,-13.602,-56.165,-36.964,-10.551,-13.308,0,-1,-20,-104.79,0,-104.35,-79.662,
TT_25_0.05_33, 25, 21, -95.581,-7.17,-97.59,-16.49,-98.923,-11,-7.718,-94.906,0,-52.007,-3.208,-126.23,-67.112,-124.72,-36.246,0,-34.718,-18.51,-51.077,-67.888,-55.916,-32.036,-125.05,-1,-7.904,
TT_25_0.05_34, 25, 23, -3.392,-68.184,-33.73,-68.768,-110.1,-32.23,-30.26,-17.028,-5.486,-34,-5.444,-7.446,0,-0.746,-70.048,-3.514,-109.9,-94.779,-29.78,-13.972,-13.554,-93.221,-69,-49,-5.418,
TT_25_0.05_35, 25, 20, -18.04,-46.028,-49.682,-97.685,-53.684,0,-1.02,-1.98,-52.592,-52.57,-84,-17.952,-4.506,-101.108,-17.908,-17.1,0,-48.246,-71,-122.97,-120.03,-96.207,-5.494,-30,-47.198,
TT_25_0.05_36, 25, 19, -75.671,-102.79,-28,-5.955,-4.051,-34.916,0,-14.976,-57.951,-102.19,-104.45,0,0,0,-6.994,-18.988,0,-57.958,-14.124,-56.091,-34.76,-13.912,-75.329,-36.324,-105.57,
TT_25_0.05_37, 25, 19, -111.54,0,-23.695,-34,-19.33,-47.661,-110.36,0,-45.339,-115.59,-76.788,-9.132,-56.824,-8.812,-56.176,-112.38,-5.056,-111.99,0,0,-114.14,0,-26.555,-24.42,-77.212,
TT_25_0.05_38, 25, 23, -55.528,-56.512,-1.777,-6.058,-35,-0.873,-12.503,-10.158,-15.497,-28,-1.074,-57.192,-88.74,-1.494,-20.024,-7,-53.032,-9.784,-1.052,-87.24,-53.736,-17.976,-0.513,-87.02,-1.217,
TT_25_0.05_39, 25, 22, -1.564,-85.518,-1.663,-0.505,-12.004,-102.12,-14.016,-47.898,-86.482,-69.08,-50.227,-51.85,-7,-0.22,-1.591,-30.024,-0.495,-67.92,-106.88,-31.976,-0.962,-7,-9.98,-18,-47.025,
TT_20_0.50_35, 20, 11, -0.462,-3.852,0,-28.913,-2.148,-81,-30.117,-4,-41.018,-12.673,0,-45.865,-4,-1.538,-6,-28.255,-13.159,0,0,0,
TT_20_0.50_36, 20, 5, -60.73,-49.21,-4,-3,0,-1,0,0,0,0,-3,0,-13.473,-21.527,0,0,0,0,0,-52.06,
TT_20_0.50_37, 20, 5, 0,-42.595,0,0,-34.603,0,-3,-1,-39.973,0,-82.09,0,-75.739,0,0,0,0,-2,-9,-5,
TT_20_0.50_38, 20, 7, -11.591,-1.623,0,-14.675,-3,0,-61,0,0,0,-30.848,-2.817,0,0,0,0,0,-15.294,0,-58.152,
